State,State code,Clean,Bioenergy,Coal,Gas,Fossil,Solar,Hydro,Nuclear,Wind,Other Renewables,Other Fossil,Total Generation,Clean_prop,Bioenergy_prop,Coal_prop,Gas_prop,Fossil_prop,Solar_prop,Hydro_prop,Nuclear_prop,Wind_prop,Other Renewables_prop,Other Fossil_prop,Total Generation_prop,Democrat,Republican,Total,Democrat_prop,Republican_prop,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,black_prop,white_prop,asian_prop,yearly_sunlight_kwh_kw_threshold_avg,existing_installs_count,carbon_offset_metric_tons,carbon_offset_metric_tons_per_panel,carbon_offset_metric_tons_per_capita,existing_installs_count_per_capita,panel_utilization,carbon_offset_kg_per_panel,carbon_offset_kg,State,"Net Upfront Cost (assuming $17,500 system @ $2.5 per W, federal tax credit)","Adjusted Payback Period (Years, under energy generation assumptions)",State-level Incentives,Numeric state-level upfront incentive,Notes,estimated_install_count
New Mexico,NM,17193.48,17.07,13292.0,10978.17,24288.71,2566.44,120.82,0.0,14434.55,54.6,18.54,41482.19,0.4144785991289273,0.000411501899972,0.3204266698551836,0.2646477922211918,0.5855214008710725,0.0618684789785688,0.0029125752521744,0.0,0.347969815479848,0.0013162275183639,0.0004469387946971,1.0,501614,401894,923965,0.5428928584957222,0.4349666924612945,1261682,507300,3085378,1740541,203124,29537,779129,26402,65495,0.873238241423134,28.54440617339778,0.9138670635886323,65160.73779642832,3739.0,5168562.8097025445,8.09012387122216,180.28251347435162,0.1311139828610187,0.005473899651454843,8090.123871222161,5168562809.702545,NM,10500,8,"10% state tax credit (up to $6,000)","1,750",Net metering; full retail credit,39.38629436667728
New York,NY,65497.13,1880.13,0.0,60312.01,63159.49,5256.5,26980.83,26812.16,4567.51,0.0,2847.48,128656.62,0.5090848026319983,0.0146135503948417,0.0,0.4687827956307262,0.4909151973680017,0.0408568171618374,0.2097119448653322,0.2084009357621862,0.0355015544478006,0.0,0.0221324017372755,1.0,5230985,3244798,8661735,0.603918845358349,0.3746129384009093,16900943,6403539,72288954,38042377,2289314,2904731,9045986,1721721,78517,82.85187525801902,466.41667769812267,53.62252044742931,686075.6340225798,18689.0,21623026.080344312,97.27952418138314,1231.9323542990837,1.6029047603780426,0.08926552664340948,97279.52418138314,21623026080.344315,NY,7875,4,"25% state tax credit (up to $5,000)",4375,Net metering (residential <750 kW); transitioning to VDER,7.661691713463476
North Carolina,NC,61646.64,1824.87,14673.74,58131.39,73290.93,11858.41,4686.29,42644.28,546.76,86.03,485.8,134937.57,0.4568530469312586,0.0135238095661571,0.1087446587336647,0.4308021109317442,0.5431469530687413,0.0878807140220473,0.0347293196401862,0.3160297017354025,0.0040519478748579,0.0006375540926074,0.0036001834033323,1.0,2684292,2758773,5524802,0.4858621177736324,0.4993433248829551,7378321,2892704,20783999,11240541,882943,1652848,4593044,298795,54727,54.749627511620744,189.82429663391957,8.538493335994266,306315.3457958872,2891.0,23138846.3279045,52.81863542687287,807.5737112492218,0.1077026237751989,0.010144786544409926,52818.635426872876,23138846327.9045,NC,10500,10,No state-level incentive,0,Net metering; TOU netting rules in effect,38.713078410057314
North Dakota,ND,18043.02,0.0,24831.19,1453.36,26359.66,1.72,1791.41,0.0,16249.89,0.0,75.11,44402.68,0.4063497969041508,0.0,0.559227280875839,0.03273135765679,0.5936502030958491,3.873640059563972e-05,0.0403446368552528,0.0,0.3659664236483023,0.0,0.00169156456322,1.0,114902,235595,361819,0.3175676235908009,0.6511404873707572,357450,151345,1060695,558299,37758,16808,303167,8725,7774,0.4658109268001898,11.216105493884985,0.2771810786180504,12635.250000000002,24.0,1157671.8764959683,1.853537849165322,37.000707810302735,0.0006569006314189302,2.8012373419689968e-05,1853.5378491653219,1157671876.4959686,ND,12250,24,No state-level incentive,0,Net billing; export credit at avoided cost,0.1361271047268554
Ohio,OH,22274.59,530.15,42992.71,68864.95,112971.31,1246.67,506.97,16826.79,3154.01,10.0,1113.65,135245.9,0.1646969704811754,0.0039198970172108,0.3178854959743696,0.5091832728385851,0.8353030295188246,0.0092178025359733,0.0037485054999818,0.1244162669626214,0.0233205590705522,7.393939483562903e-05,0.0082342607058698,1.0,2679165,3154834,5922202,0.4523933834070502,0.5327130010087464,8478646,3518067,30958931,16700781,1139973,1388075,6214533,259012,13043,70.30155209708721,330.99629201774246,10.082787555501445,421362.9896768641,2835.0,39644335.61007686,102.00505398766937,2012.5620985944663,0.1379814416768475,0.007280301467420128,102005.05398766937,39644335610.07686,OH,12250,11,No state-level incentive,0,"Net metering; full retail credit, some property tax exemptions",2.958660419976727
Oklahoma,OK,39777.71,311.79,8954.03,36022.92,45009.86,166.82,1679.1,0.0,37552.75,67.25,32.91,84787.57,0.4691455363091547,0.0036773078884086,0.1056054560827725,0.4248608610908414,0.5308544636908452,0.0019675053784416,0.0198036103641135,0.0,0.4429039539640067,0.0007931587141841,0.0003881465172312,1.0,503890,1020280,1560699,0.3228617433598663,0.6537327184806295,2361249,922803,8649265,4565463,328088,230275,1579908,80042,111830,14.314669942111966,83.62867010283364,3.7090402650704988,144414.26187399734,799.0,13574533.141195,28.699720223724874,867.2510494685844,0.061009603524304026,0.001751436386092296,28699.72022372487,13574533141.195,OK,12250,12,No state-level incentive,0,No net metering; voluntary utility programs only,1.155149067933137
Oregon,OR,42670.54,984.97,0.0,19054.76,19091.9,2012.52,31304.32,0.0,8149.19,219.54,37.14,61762.44,0.6908817073936846,0.0159477183867735,0.0,0.3085169562601477,0.3091182926063154,0.0325848525414475,0.5068504417895406,0.0,0.1319441071304825,0.0035545875454402,0.0006013363461676,1.0,1340383,958448,2374321,0.5645331865404888,0.4036724604634335,3088345,1230822,9580971,5106240,353062,72762,2368126,175486,28314,2.544208656720044,89.78760256033596,5.372535100397388,105933.78605769172,8640.0,4370539.36360658,8.200535311291246,154.8422320628377,0.27737916283895026,0.01649576456048902,8200.535311291245,4370539363.60658,OR,11200,11,"Rebate of at least $0.20 per watt, up to 40% of net cost or $5,000, whichever less","1,400",Net metering; full retail credit,18.997904963993058
Pennsylvania,PA,84311.83,1592.95,23929.78,130163.55,155781.59,1046.54,1910.87,76166.02,3572.25,23.2,1688.27,240093.43,0.3511625869979033,0.0066347088298084,0.0996686165048331,0.5421370755542957,0.6488373713516442,0.0043588864551603,0.0079588600154531,0.31723491975603,0.0148785828916684,9.662904978282828e-05,0.0070317209429679,1.0,3458229,3377674,6915283,0.5000849567544814,0.4884361204017247,9183919,3703116,45614467,24274160,1094010,1289550,6564075,434118,16965,53.051285709163025,432.62042414788084,19.483712240802657,529437.4702888303,4389.0,25414923.709320076,105.44054234446298,1838.8637672424659,0.27790154418546537,0.02549643865341291,105440.542344463,25414923709.32008,PA,12250,9,No state-level incentive,0,Net metering; full retail credit,1.9767017990416669
Rhode Island,RI,1327.32,218.45,0.0,6963.77,7022.67,888.48,7.38,0.0,209.34,3.67,58.9,8349.99,0.1589606694139753,0.0261617079780933,0.0,0.8339854299226707,0.8410393305860246,0.106404917850201,0.0008838333938124,0.0,0.0250706887074116,0.0004395214844568,0.007053900663354,1.0,307486,199922,516990,0.5947619876593357,0.3867038047157585,921402,366739,4009671,2048663,105223,62735,664865,33964,3365,2.108170031033521,35.427206863332046,1.4646138623799054,44520.448157144754,371.0,1600637.4502382462,5.558715536611421,73.98836916196117,0.018715382889066823,0.0025328661368002603,5558.715536611423,1600637450.2382464,RI,7250,3,Limited state-level incentives (application required),0,Net metering; full retail credit,19.95667242306083
South Carolina,SC,60613.99,1992.03,14243.46,24143.89,38615.96,2942.0,1310.21,54369.75,0.0,0.0,228.61,99229.95,0.6108437019266865,0.020074886664762,0.1435399292249971,0.2433125281228097,0.3891562980733135,0.0296483067864087,0.0132037756745821,0.5479167328009336,0.0,0.0,0.0023038407255067,1.0,1091541,1385103,2514096,0.4341683849781392,0.5509348091719648,3978352,1583386,11338221,6328622,506032,926184,2654162,80155,11409,37.82969834877873,113.15156401824348,2.6746035717622103,184024.11753670633,1260.0,14994312.83603878,31.70968390788211,610.5431377769935,0.06094738402322518,0.0026225171307178085,31709.683907882107,14994312836.038778,SC,7875,7,"25% state tax credit (up to $35,000)",4375,TOU net billing for new installs; legacy NEM,15.987034957052163
South Dakota,SD,14586.74,28.75,1874.8,1424.34,3315.99,4.34,4258.54,0.0,10295.11,0.0,16.85,17902.73,0.8147774110428968,0.0016059003291676,0.1047214586825584,0.0795599330381455,0.1852225889571032,0.0002424211279508,0.2378709839225637,0.0,0.5750581056632146,0.0,0.0009411972363991,1.0,150471,261043,422609,0.3560525213613529,0.6176938967225024,346537,141197,1543003,787660,33990,15241,284573,6148,12980,0.58288344628755,16.048212034009094,0.28028254517724965,20616.428837872452,21.0,1045718.0549595013,3.1867662921339623,45.664171088540506,0.0018921480719743906,0.0001377549346269349,3186.7662921339625,1045718054.9595014,SD,12250,23,No state-level incentive,0,"No net metering; exports not compensated, property tax exemption",0.21051172509699667
Tennessee,TN,45550.52,433.98,15885.54,16520.81,32568.07,751.55,8706.76,35635.4,14.86,7.97,161.72,78118.59,0.5830944977373503,0.0055553998094435,0.2033515965917972,0.2114837198162435,0.4169055022626496,0.0096206293533971,0.1114556727150349,0.4561705478811126,0.0001902236074665,0.0001020243708955,0.0020701858546089,1.0,1143711,1852475,3053851,0.374514342710237,0.6066029416628381,4670636,1852058,13716784,7660191,623453,991354,3202851,116022,8766,35.893004966548446,142.8591614362042,3.7520747369213825,203165.97249894828,1304.0,23425246.928825513,45.33957938428671,996.369051269921,0.059541039976291246,0.0024233521932485974,45339.57938428671,23425246928.825516,TN,12250,25,No state-level incentive,0,"No net metering; TVA pays avoided cost, property tax exemption",3.6991922946343316
Texas,TX,184023.7,1472.87,85336.95,256139.77,344538.25,25437.09,620.18,41606.95,114786.91,99.71,3061.54,528561.97,0.3481591761132569,0.0027865606751844,0.1614511728870694,0.484597425728529,0.6518407860482283,0.0481250855032192,0.0011733345098588,0.078717259964806,0.2171683104631988,0.0001886439162469,0.0057922063518871,1.0,5259126,5890347,11315056,0.4647900991387051,0.5205760360355265,23440588,8469961,59830426,30024629,3179651,3152359,13118464,1427627,138532,102.16793941448461,456.3455840697512,36.669692494198145,870795.4869062179,14114.0,79601158.7787427,130.11725775130128,3229.9887978886154,0.5443162540402118,0.027096195349482183,130117.25775130131,79601158778.7427,TX,12250,16,No state-level incentive,0,"No state policy; REP-specific export rates, property tax exemption",29.21132502692851
Utah,UT,6486.37,73.82,22390.22,11107.09,33677.04,4628.94,595.36,0.0,723.44,464.81,179.73,40163.41,0.161499484232041,0.0018379913458543,0.5574780627441743,0.2765474843893982,0.8385005157679589,0.1152526640541726,0.0148234425313986,0.0,0.0180124147825097,0.0115729715181056,0.0044749686343863,1.0,560282,865140,1488289,0.3764604858330606,0.5812983902991959,2668875,872955,8396298,3689297,224857,34489,2165141,73040,21172,1.2098472628653236,78.88054453358419,2.370430315589486,116437.38882796865,3159.0,4036047.558688144,8.98388277428217,146.47022108438077,0.11734661946872502,0.013627490313502412,8983.88277428217,4036047558.688144,UT,12250,13,No state-level incentive,0,Export credit tariff (~5-6/kWh); NEM phased out,39.754756153447104
Vermont,VT,2385.58,422.2,0.0,1.5,9.63,413.51,1140.69,0.0,409.18,0.0,8.13,2395.21,0.9959794757035916,0.1762684691530179,0.0,0.0006262498904062,0.0040205242964082,0.1726403947879309,0.4762379916583514,0.0,0.1708326201042914,0.0,0.0033942744060019,1.0,242820,112704,370968,0.6545578055250049,0.3038105712622113,127663,54340,703896,393035,16322,3683,109976,6247,122,0.23174081442070094,6.917785558278483,0.3913164050668931,7548.0,131.0,230536.9859887709,0.9493902462555255,14.056882788105007,0.007291123523944078,0.0005138513318648108,949.3902462555254,230536985.98877093,VT,12250,8,No state-level incentive,0,"Net metering; near-retail credit with adjustors, sales and property tax exemptions",54.78404875463699
Virginia,VA,36561.66,3645.3,3346.07,48801.99,53322.78,5015.07,-364.71,28197.34,50.85,17.81,1174.72,89884.44,0.4067629502948452,0.0405554064752475,0.037226354194341,0.5429414701810458,0.5932370497051547,0.0557946403181685,-0.0040575432188263,0.3137065770226749,0.0005657263926882,0.0001981433048923,0.0130692253297678,1.0,2413568,1962430,4460524,0.5410951717780242,0.4399550366728214,5002674,1950480,20576937,10481076,493496,1071939,2979090,425188,12425,42.2244822274248,144.03049534011734,13.828606252140496,231374.01024309613,2397.0,14387790.289189886,42.99440248181231,656.204002464866,0.07740746627311663,0.0051560755876277065,42994.402481812314,14387790289.189888,VA,12250,10,No state-level incentive,0,Net metering; full retail credit,21.675165653786486
Washington,WA,98646.65,1312.82,3565.97,14532.32,18455.34,476.5,78926.59,9851.54,8060.91,18.29,357.05,117101.99,0.8423994331778648,0.0112109111040726,0.0304518309210629,0.1240996843862345,0.1576005668221351,0.0040691024977457,0.6739987083054694,0.0841278615333522,0.0688366611020017,0.000156188635223,0.0030490515148376,1.0,2369612,1584651,4087631,0.5797030113530306,0.3876697774334327,6392674,2490625,24234872,12420275,589049,288027,4369007,685224,58808,9.793949080638765,168.40925326122104,21.85828899458538,208796.32954879774,5753.0,7243284.8526457185,15.917652313695775,319.17989967753664,0.20642118927561842,0.014106853630884835,15917.652313695777,7243284852.645718,WA,12250,16,No state-level incentive,0,"Net metering; full retail credit, sales tax exemption",2.2821282396568052
West Virginia,WV,3697.57,10.2,50717.5,2110.47,53000.99,33.21,1647.26,0.0,2006.9,0.0,173.02,56698.56,0.0652145310215991,0.0001798987487512,0.8945112539013337,0.0372226384585428,0.9347854689784008,0.0005857291613755,0.0290529424380442,0.0,0.035395960673428,0.0,0.0030515766185243,1.0,235984,545382,794652,0.2969652124451961,0.6863155192461606,693495,290283,4091408,2293995,115608,37339,610736,9335,700,3.935123823441507,62.979670750122104,0.6276450236723066,69485.36035075627,80.0,2686228.2981398264,16.85348231588671,253.83144418819205,0.009210743928164181,0.0004148622402030026,16853.482315886708,2686228298.139827,WV,12250,10,No state-level incentive,0,Net metering ended; export credit at wholesale,0.47794240157003876
Wisconsin,WI,16119.82,1153.76,21922.95,23276.43,45252.19,1032.5,1990.98,10077.02,1815.72,49.84,52.81,61372.01,0.2626575209122204,0.0187994494558675,0.3572141437114411,0.3792678453907571,0.7373424790877796,0.0168236301858127,0.032441173101549,0.1641956976804247,0.0295854738992579,0.0008120965893083,0.0008604899855813,1.0,1630866,1610184,3298041,0.4944953686142774,0.4882243731960882,3951859,1635159,16700613,8829523,432252,345625,3078537,146480,18957,13.24151508554535,165.988585512081,6.0255246000055385,197315.1481357682,1912.0,18459106.35696297,45.082012246702824,959.2148054472514,0.09094033161434786,0.005054755299676014,45082.01224670283,18459106356.962975,WI,12250,9,"Focus on Energy rebate, rural customers can receive additional $300",300,"Net metering; full retail credit, sales tax exemption",5.232745735717967
Wyoming,WY,10733.76,0.0,33517.89,1661.25,35636.69,208.87,744.75,0.0,9780.14,0.0,457.55,46370.45,0.2314784523333286,0.0,0.7228286548868946,0.0358256173921107,0.7685215476666715,0.0045043772488729,0.0160608749753345,0.0,0.2109132001091212,0.0,0.009867275387666,1.0,73491,193559,278503,0.2638786655799039,0.6949978994840271,174213,72109,633574,354369,15144,2656,152540,1540,1770,0.15283425416459878,7.996205209147887,0.08894890336684166,10365.779543808834,29.0,394004.3903247168,0.9153183174950799,19.63097321224039,0.0021174665780049457,7.911369476539681e-05,915.3183174950799,394004390.3247168,WY,12250,11,No state-level incentive,0,Net metering; full retail credit,20.149955834701473
