State,Data
ID,"{'1000-9999': 0.19323492474563903, '10000-14999': 0.05131282561215137, '15000-19999': 0.03785515532820516, '20000-24999': 0.03785515532820516, '25000-29999': 0.0352830128133643, '30000-34999': 0.028935490158765613, '35000-39999': 0.024319932744325028, '40000-44999': 0.020402355547617757, '45000-49999': 0.019916404599935007, '50000-59999': 0.015359809101960007, '60000-74999': 0.013762477242956712, '75000-99999': 0.010580247435374304, '100000-124999': 0.009049042604062797, '125000-149999': 0.007386078139080694, '150000-199999': 0.0063471157392428895, '200000-10000000': 0.0004275082864624654}"
IL,"{'1000-9999': 0.31352380147470577, '10000-14999': 0.09687971693915806, '15000-19999': 0.06944980702443389, '20000-24999': 0.06944980702443389, '25000-29999': 0.06211994893530732, '30000-34999': 0.048502290259198055, '35000-39999': 0.04081420682454219, '40000-44999': 0.035684523259809676, '45000-49999': 0.0315759470840082, '50000-59999': 0.02513270628302505, '60000-74999': 0.023729739712487295, '75000-99999': 0.017942895004203166, '100000-124999': 0.01582335084763668, '125000-149999': 0.01300791606960575, '150000-199999': 0.012291438639214931, '200000-10000000': 0.0007808588224837307}"
IN,"{'1000-9999': 0.33323029414836164, '10000-14999': 0.08934324754168274, '15000-19999': 0.062331582410784354, '20000-24999': 0.062331582410784354, '25000-29999': 0.05587531358139225, '30000-34999': 0.045387862798119155, '35000-39999': 0.0384301346820071, '40000-44999': 0.03332403644878131, '45000-49999': 0.030170953635768806, '50000-59999': 0.023358115770579658, '60000-74999': 0.021933549433524515, '75000-99999': 0.01686498655618412, '100000-124999': 0.01464136261910271, '125000-149999': 0.012164547279956717, '150000-199999': 0.011658072928309657, '200000-10000000': 0.0010200936297256242}"
IA,"{'1000-9999': 0.259185023673735, '10000-14999': 0.0756827904833748, '15000-19999': 0.05517500237293667, '20000-24999': 0.05517500237293667, '25000-29999': 0.04984221303894855, '30000-34999': 0.04058004717355914, '35000-39999': 0.03414272147094486, '40000-44999': 0.030197373420513613, '45000-49999': 0.026709496920791043, '50000-59999': 0.020874288990124754, '60000-74999': 0.019886426707230388, '75000-99999': 0.0150498949367034, '100000-124999': 0.013184718325265495, '125000-149999': 0.010991735881699431, '150000-199999': 0.01039387119061673, '200000-10000000': 0.0006513778201846246}"
KS,"{'1000-9999': 0.27848133286184457, '10000-14999': 0.08848779835319893, '15000-19999': 0.05963908333076574, '20000-24999': 0.05963908333076574, '25000-29999': 0.053651748048774636, '30000-34999': 0.04400993990802936, '35000-39999': 0.03673952879056288, '40000-44999': 0.03160629291608756, '45000-49999': 0.02859855036622365, '50000-59999': 0.02210018000712714, '60000-74999': 0.021215386070427514, '75000-99999': 0.016338521597971094, '100000-124999': 0.014105720260464569, '125000-149999': 0.011537458336937886, '150000-199999': 0.011223277186558028, '200000-10000000': 0.0007236259411958307}"
KY,"{'1000-9999': 0.3366562319116037, '10000-14999': 0.11647213829072553, '15000-19999': 0.0820759954088134, '20000-24999': 0.0820759954088134, '25000-29999': 0.06892611281305737, '30000-34999': 0.05655299939163235, '35000-39999': 0.04733186883334051, '40000-44999': 0.04089062931869141, '45000-49999': 0.038752360775238706, '50000-59999': 0.02961278032205162, '60000-74999': 0.02647496336518121, '75000-99999': 0.02017340158256202, '100000-124999': 0.01768569255681451, '125000-149999': 0.014362221814404417, '150000-199999': 0.013789297090578145, '200000-10000000': 0.0012221403488684552}"
LA,"{'1000-9999': 0.3270825782588544, '10000-14999': 0.11763951240820017, '15000-19999': 0.08084799340303157, '20000-24999': 0.08084799340303157, '25000-29999': 0.06894095617455848, '30000-34999': 0.055789010916754665, '35000-39999': 0.047321872502746325, '40000-44999': 0.04130944944643168, '45000-49999': 0.038265201737591716, '50000-59999': 0.030019573698576066, '60000-74999': 0.026093616777627112, '75000-99999': 0.02034842153709434, '100000-124999': 0.017737031872551413, '125000-149999': 0.014597557156232562, '150000-199999': 0.013477899427693191, '200000-10000000': 0.000955985543256508}"
ME,"{'1000-9999': 0.3934956531276412, '10000-14999': 0.10684775026195098, '15000-19999': 0.07704514188756306, '20000-24999': 0.07704514188756306, '25000-29999': 0.06459525215051325, '30000-34999': 0.05266247568827532, '35000-39999': 0.04454252180894599, '40000-44999': 0.039102176526755364, '45000-49999': 0.03743842587904406, '50000-59999': 0.028777633577505856, '60000-74999': 0.027100837137887124, '75000-99999': 0.0210780231469445, '100000-124999': 0.01789528254999482, '125000-149999': 0.014650444696637559, '150000-199999': 0.013235885064130518, '200000-10000000': 0.0006636850352535184}"
MD,"{'1000-9999': 0.40476590264098133, '10000-14999': 0.1276270009127818, '15000-19999': 0.09015221479645533, '20000-24999': 0.09015221479645533, '25000-29999': 0.07755509803138638, '30000-34999': 0.06319277198460088, '35000-39999': 0.05300957531309565, '40000-44999': 0.04538429336166842, '45000-49999': 0.043321353454959834, '50000-59999': 0.033886033553079384, '60000-74999': 0.029506023335151097, '75000-99999': 0.02277338144306401, '100000-124999': 0.019703451914286203, '125000-149999': 0.01605273756294031, '150000-199999': 0.015334945219781888, '200000-10000000': 0.0012791797241334156}"
MA,"{'1000-9999': 0.42084793028425355, '10000-14999': 0.12498189226581191, '15000-19999': 0.09050918981500113, '20000-24999': 0.09050918981500113, '25000-29999': 0.07430206888143932, '30000-34999': 0.06254756046294402, '35000-39999': 0.05270368724676206, '40000-44999': 0.04553254237792766, '45000-49999': 0.04303150630569435, '50000-59999': 0.033525063581643616, '60000-74999': 0.03153298869162264, '75000-99999': 0.024347583205377926, '100000-124999': 0.020586508879981553, '125000-149999': 0.01697232531613932, '150000-199999': 0.01589747670339666, '200000-10000000': 0.0010683965534189718}"
