State,Data
ID,"{'1000-9999': 1.173988801982973, '10000-14999': 1.200890474494034, '15000-19999': 1.182940733684418, '20000-24999': 1.182940733684418, '25000-29999': 0.9867642789065184, '30000-34999': 0.9845059312511852, '35000-39999': 0.9895839923023381, '40000-44999': 1.0027230229140092, '45000-49999': 0.9132483596372268, '50000-59999': 0.9117237170139895, '60000-74999': 0.8369890970403266, '75000-99999': 0.8375202875530745, '100000-124999': 0.7680108117903257, '125000-149999': 0.769342622838626, '150000-199999': 0.6952862289800865, '200000-10000000': 0.696370525509704}"
IL,"{'1000-9999': 0.8380545423098247, '10000-14999': 0.8722099045286092, '15000-19999': 0.877668720504091, '20000-24999': 0.877668720504091, '25000-29999': 0.7626588638048571, '30000-34999': 0.7648577392350642, '35000-39999': 0.7721624063847857, '40000-44999': 0.7601487370012056, '45000-49999': 0.752138991127025, '50000-59999': 0.7490419489046869, '60000-74999': 0.6489204966281655, '75000-99999': 0.6480914657575224, '100000-124999': 0.5731679509496627, '125000-149999': 0.5718314125500261, '150000-199999': 0.474801785464167, '200000-10000000': 0.478377745249236}"
IN,"{'1000-9999': 0.8349840583113093, '10000-14999': 0.877558244454777, '15000-19999': 0.8882148216591211, '20000-24999': 0.8882148216591211, '25000-29999': 0.7630391684568266, '30000-34999': 0.7679578436995987, '35000-39999': 0.7664733989879293, '40000-44999': 0.7660030190640806, '45000-49999': 0.7480171012026956, '50000-59999': 0.7489713938245742, '60000-74999': 0.6460425940875717, '75000-99999': 0.6469392112473057, '100000-124999': 0.5707697732190489, '125000-149999': 0.5764352021106147, '150000-199999': 0.4744423085914168, '200000-10000000': 0.4781310375990196}"
IA,"{'1000-9999': 0.8653526079791424, '10000-14999': 0.907441555384169, '15000-19999': 0.9186427634267323, '20000-24999': 0.9186427634267323, '25000-29999': 0.7917747801313293, '30000-34999': 0.7904653072370404, '35000-39999': 0.7922850763771697, '40000-44999': 0.7875668524197795, '45000-49999': 0.777194101527483, '50000-59999': 0.7730994027342262, '60000-74999': 0.6682347728199279, '75000-99999': 0.6691979434619485, '100000-124999': 0.5913488783273014, '125000-149999': 0.5878182779968902, '150000-199999': 0.4899827282307575, '200000-10000000': 0.49250435651228985}"
KS,"{'1000-9999': 0.9471065930222674, '10000-14999': 0.9983611403637838, '15000-19999': 1.0165218248408574, '20000-24999': 1.0165218248408574, '25000-29999': 0.8576784639353542, '30000-34999': 0.8590829468418598, '35000-39999': 0.8620487650665158, '40000-44999': 0.8594746759674683, '45000-49999': 0.8441181197409954, '50000-59999': 0.8405555947864705, '60000-74999': 0.7277556672346586, '75000-99999': 0.7306640351640127, '100000-124999': 0.6445924085237383, '125000-149999': 0.6419466348065422, '150000-199999': 0.534559570818821, '200000-10000000': 0.5333434980005485}"
KY,"{'1000-9999': 0.6417150204070126, '10000-14999': 0.6078213526936991, '15000-19999': 0.6022831145675699, '20000-24999': 0.6022831145675699, '25000-29999': 0.5602103072590515, '30000-34999': 0.5586015753744851, '35000-39999': 0.5610630218914106, '40000-44999': 0.5606073754157238, '45000-49999': 0.5242844813815796, '50000-59999': 0.5241271304513915, '60000-74999': 0.48822054917817276, '75000-99999': 0.4879788960934398, '100000-124999': 0.4320507113322426, '125000-149999': 0.43229721732597404, '150000-199999': 0.36509692314620107, '200000-10000000': 0.36543990555630734}"
LA,"{'1000-9999': 0.7078811174991702, '10000-14999': 0.657412168545256, '15000-19999': 0.658688996938175, '20000-24999': 0.658688996938175, '25000-29999': 0.6052983262859614, '30000-34999': 0.6065223485147796, '35000-39999': 0.6045183671282204, '40000-44999': 0.6064959949683649, '45000-49999': 0.5691498061325145, '50000-59999': 0.5666622589631867, '60000-74999': 0.5291741664028027, '75000-99999': 0.5282891485885578, '100000-124999': 0.46842835936903876, '125000-149999': 0.469707426572252, '150000-199999': 0.3959989088168999, '200000-10000000': 0.3962321652255891}"
ME,"{'1000-9999': 1.0477893850923068, '10000-14999': 1.0901226483098236, '15000-19999': 1.0930969667705341, '20000-24999': 1.0930969667705341, '25000-29999': 0.9967600469443479, '30000-34999': 1.001259303588081, '35000-39999': 1.0100794382933362, '40000-44999': 1.003956144562105, '45000-49999': 0.929262320604451, '50000-59999': 0.9278220996363654, '60000-74999': 0.8015271962046284, '75000-99999': 0.800767335179837, '100000-124999': 0.7307346524496098, '125000-149999': 0.7273241058990599, '150000-199999': 0.6280899663347735, '200000-10000000': 0.6291142073651371}"
MD,"{'1000-9999': 0.6625130645097934, '10000-14999': 0.6260915410491756, '15000-19999': 0.6229746053686465, '20000-24999': 0.6229746053686465, '25000-29999': 0.5783794193971685, '30000-34999': 0.5737618977559509, '35000-39999': 0.5768394614530915, '40000-44999': 0.575576866287692, '45000-49999': 0.5365505349186795, '50000-59999': 0.5392972347027766, '60000-74999': 0.5016174922976795, '75000-99999': 0.5013986678398484, '100000-124999': 0.44405831441294547, '125000-149999': 0.4464160767476642, '150000-199999': 0.3750019443743354, '200000-10000000': 0.37504205564639065}"
MA,"{'1000-9999': 1.0162154390925082, '10000-14999': 1.101525256161106, '15000-19999': 1.0910100353363452, '20000-24999': 1.0910100353363452, '25000-29999': 1.0026728578816733, '30000-34999': 0.9869686227036859, '35000-39999': 0.9941193360360158, '40000-44999': 0.983802164701359, '45000-49999': 0.9210667092600242, '50000-59999': 0.9096599697553922, '60000-74999': 0.7923972631621918, '75000-99999': 0.7939695808720144, '100000-124999': 0.722402994891632, '125000-149999': 0.7257579740367476, '150000-199999': 0.6222084980294028, '200000-10000000': 0.6205895097648705}"
