zip,state_code,group_id
99501,AK,0
99502,AK,0
99503,AK,0
99504,AK,0
99506,AK,0
99507,AK,0
99508,AK,0
99515,AK,0
99516,AK,0
99517,AK,0
99518,AK,0
99701,AK,0
99703,AK,0
99709,AK,0
99712,AK,0
35004,AL,0
35005,AL,0
35007,AL,0
35014,AL,0
35020,AL,0
35022,AL,0
35023,AL,0
35040,AL,0
35043,AL,0
35044,AL,0
35051,AL,0
35055,AL,0
35057,AL,0
35058,AL,0
35061,AL,0
35064,AL,0
35068,AL,0
35071,AL,0
35072,AL,0
35073,AL,0
35077,AL,0
35080,AL,0
35094,AL,0
35096,AL,0
35111,AL,0
35114,AL,0
35115,AL,0
35116,AL,0
35117,AL,0
35118,AL,0
35124,AL,0
35126,AL,0
35127,AL,0
35147,AL,0
35150,AL,0
35151,AL,0
35160,AL,0
35173,AL,0
35176,AL,0
35179,AL,0
35184,AL,0
35188,AL,0
35203,AL,0
35204,AL,0
35205,AL,0
35206,AL,0
35207,AL,0
35208,AL,0
35209,AL,0
35210,AL,0
35211,AL,0
35212,AL,0
35213,AL,0
35214,AL,0
35215,AL,0
35216,AL,0
35217,AL,0
35218,AL,0
35221,AL,0
35222,AL,0
35223,AL,0
35224,AL,0
35226,AL,0
35228,AL,0
35233,AL,0
35234,AL,0
35235,AL,0
35242,AL,0
35243,AL,0
35244,AL,0
35401,AL,0
35404,AL,0
35405,AL,0
35406,AL,0
35444,AL,0
35452,AL,0
35453,AL,0
35456,AL,0
35463,AL,0
35473,AL,0
35474,AL,0
35475,AL,0
35476,AL,0
35490,AL,0
35601,AL,0
35603,AL,0
35611,AL,0
35613,AL,0
35614,AL,0
35616,AL,0
35630,AL,0
35633,AL,0
35634,AL,0
35645,AL,0
35660,AL,0
35661,AL,0
35671,AL,0
35673,AL,0
35674,AL,0
35741,AL,0
35748,AL,0
35749,AL,0
35750,AL,0
35754,AL,0
35756,AL,0
35757,AL,0
35758,AL,0
35759,AL,0
35761,AL,0
35763,AL,0
35773,AL,0
35775,AL,0
35801,AL,0
35802,AL,0
35803,AL,0
35805,AL,0
35806,AL,0
35808,AL,0
35810,AL,0
35811,AL,0
35816,AL,0
35824,AL,0
35901,AL,0
35903,AL,0
35904,AL,0
35905,AL,0
35906,AL,0
35950,AL,0
35951,AL,0
35954,AL,0
35956,AL,0
35957,AL,0
35976,AL,0
35980,AL,0
36020,AL,0
36022,AL,0
36025,AL,0
36043,AL,0
36054,AL,0
36064,AL,0
36066,AL,0
36067,AL,0
36079,AL,0
36081,AL,0
36092,AL,0
36093,AL,0
36104,AL,0
36105,AL,0
36106,AL,0
36107,AL,0
36108,AL,0
36109,AL,0
36110,AL,0
36111,AL,0
36112,AL,0
36113,AL,0
36115,AL,0
36116,AL,0
36117,AL,0
36201,AL,0
36203,AL,0
36205,AL,0
36206,AL,0
36207,AL,0
36250,AL,0
36260,AL,0
36265,AL,0
36268,AL,0
36277,AL,0
36301,AL,0
36303,AL,0
36305,AL,0
36312,AL,0
36321,AL,0
36322,AL,0
36330,AL,0
36345,AL,0
36350,AL,0
36351,AL,0
36360,AL,0
36362,AL,0
36376,AL,0
36509,AL,0
36511,AL,0
36523,AL,0
36526,AL,0
36527,AL,0
36530,AL,0
36532,AL,0
36535,AL,0
36541,AL,0
36542,AL,0
36544,AL,0
36551,AL,0
36555,AL,0
36561,AL,0
36567,AL,0
36571,AL,0
36572,AL,0
36575,AL,0
36576,AL,0
36580,AL,0
36582,AL,0
36587,AL,0
36602,AL,0
36603,AL,0
36604,AL,0
36605,AL,0
36606,AL,0
36607,AL,0
36608,AL,0
36609,AL,0
36610,AL,0
36611,AL,0
36612,AL,0
36613,AL,0
36617,AL,0
36618,AL,0
36619,AL,0
36693,AL,0
36695,AL,0
36752,AL,0
36801,AL,0
36804,AL,0
36830,AL,0
36832,AL,0
36856,AL,0
36867,AL,0
36869,AL,0
36870,AL,0
36875,AL,0
36877,AL,0
36879,AL,0
71601,AR,0
71602,AR,0
71603,AR,0
71837,AR,0
71854,AR,0
71901,AR,0
71913,AR,0
71956,AR,0
71964,AR,0
71968,AR,0
72002,AR,0
72007,AR,0
72011,AR,0
72012,AR,0
72015,AR,0
72019,AR,0
72022,AR,0
72023,AR,0
72065,AR,0
72068,AR,0
72076,AR,0
72081,AR,0
72082,AR,0
72086,AR,0
72103,AR,0
72113,AR,0
72114,AR,0
72116,AR,0
72117,AR,0
72118,AR,0
72120,AR,0
72135,AR,0
72142,AR,0
72143,AR,0
72167,AR,0
72176,AR,0
72201,AR,0
72202,AR,0
72204,AR,0
72205,AR,0
72206,AR,0
72207,AR,0
72209,AR,0
72210,AR,0
72211,AR,0
72212,AR,0
