zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_-5500_incentive,prop_adopt_2_years_-5500_incentive,prop_adopt_3_years_-5500_incentive,prop_adopt_4_years_-5500_incentive,prop_adopt_5_years_-5500_incentive
72704,16.91122332769596,11451.538365758066,0.0,0.0,0.006,0.047,0.435
72712,16.454180538914102,11172.32588258846,0.0,0.001,0.013,0.093,0.535
72718,16.871406049275667,11366.697479210205,0.0,0.0,0.0,0.085,0.456
72719,16.874240368084394,11425.261898092243,0.0,0.0,0.006,0.054,0.437
72730,16.880921499642017,11516.183976203765,0.0,0.0,0.006,0.026,0.413
72745,16.87629321107769,11558.542879472232,0.0,0.0,0.0,0.022,0.411
72753,16.863165736318642,11433.299918356863,0.0,0.0,0.013,0.044,0.425
72756,18.370149762831122,11901.49548417862,0.0,0.0,0.0,0.034,0.09
72758,16.87067923143733,11411.56258242716,0.0,0.0,0.0,0.068,0.443
72762,16.561014739559223,11344.513435431942,0.0,0.0,0.008,0.055,0.526
72764,16.909080028604066,11487.994192332018,0.0,0.0,0.009,0.034,0.409
72774,17.704793833205674,11700.713201661378,0.0,0.0,0.011,0.032,0.188
72801,18.503512143238495,11819.23276469311,0.0,0.0,0.018,0.051,0.101
72802,18.486071837903086,11908.351379284675,0.0,0.0,0.006,0.035,0.076
72834,18.506231868433833,11939.668732546725,0.0,0.0,0.0,0.026,0.067
72837,18.57697216770284,11966.462142071825,0.0,0.0,0.006,0.016,0.076
72847,18.511594198804065,11898.149426301297,0.0,0.0,0.008,0.04,0.082
72858,18.58025350121661,11949.31560184744,0.0,0.0,0.0,0.028,0.083
72901,17.81321384571351,11791.526713844078,0.0,0.0,0.002,0.023,0.16
72903,17.81214842398333,11735.407342943974,0.0,0.0,0.004,0.045,0.18
72904,17.697736970688087,11611.151658179979,0.0,0.0,0.022,0.05,0.189
72908,17.813074324464623,11770.433892776311,0.0,0.0,0.005,0.026,0.173
72916,17.811822295464815,11655.008277955278,0.0,0.0,0.0,0.062,0.235
72921,17.81325899382369,11704.467692570668,0.0,0.0,0.012,0.04,0.168
72923,17.81236745671313,11764.582979477243,0.0,0.0,0.008,0.024,0.155
72941,17.81179251817211,11750.59638415448,0.0,0.0,0.006,0.035,0.185
72956,17.762793135147152,11716.353722111162,0.0,0.0,0.01,0.031,0.175
85003,13.251456484474307,11331.524159557219,0.0,0.039,0.914,0.993,1.0
85004,13.256542246214577,11304.33203005844,0.0,0.035,0.9,0.992,1.0
85006,13.241151053352791,11406.828953594839,0.0,0.033,0.939,0.993,1.0
