zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_1500_incentive,prop_adopt_2_years_1500_incentive,prop_adopt_3_years_1500_incentive,prop_adopt_4_years_1500_incentive,prop_adopt_5_years_1500_incentive
99501,14.586773379930856,13275.30514714707,0.0,0.0,0.0,0.0,0.0
99502,14.575330402642395,13267.45156927573,0.0,0.0,0.0,0.0,0.0
99503,14.569266541303895,13333.06829355099,0.0,0.0,0.0,0.0,0.0
99504,14.558289091421829,13340.19539059458,0.0,0.0,0.0,0.0,0.0
99506,14.550216633965563,13399.332634695098,0.0,0.0,0.0,0.0,0.003
99507,14.567088439667732,13274.715851486131,0.0,0.0,0.0,0.0,0.0
99508,14.58039211931773,13305.136825764397,0.0,0.0,0.0,0.0,0.0
99515,14.561868054408489,13272.183165148012,0.0,0.0,0.0,0.0,0.001
99516,14.55753207640514,13198.91553197735,0.0,0.0,0.0,0.0,0.0
99517,14.57261921718579,13318.942327761322,0.0,0.0,0.0,0.0,0.0
99518,14.574762610254776,13361.922812700752,0.0,0.0,0.0,0.0,0.0
99701,15.759559970614042,13652.655089440721,0.0,0.0,0.0,0.0,0.0
99703,15.735684574313366,13724.775240353176,0.0,0.0,0.0,0.0,0.0
99709,15.723942227858776,13569.399473699661,0.0,0.0,0.0,0.0,0.0
99712,15.734145276503444,13591.970564102387,0.0,0.0,0.0,0.0,0.0
35004,15.023454050849276,10968.034095436484,0.0,0.0,0.0,0.0,0.0
35005,15.116445212877409,11019.251758904697,0.0,0.0,0.0,0.0,0.0
35007,15.00772730536001,10918.583904814646,0.006,0.006,0.006,0.006,0.006
35014,14.991613479578879,10971.873221041373,0.004,0.004,0.004,0.004,0.004
35020,15.02238337781649,10860.256933041233,0.006,0.006,0.006,0.006,0.006
35022,15.097523680297092,10904.313920107481,0.0,0.0,0.0,0.0,0.0
35023,15.094767641015126,11011.265995327592,0.004,0.004,0.004,0.004,0.004
35040,14.992442995642124,10934.147719751698,0.005,0.005,0.005,0.005,0.005
35043,14.978787359345127,10837.4810423602,0.01,0.01,0.01,0.01,0.01
35044,14.85750231834107,10665.77934622275,0.018,0.018,0.018,0.018,0.018
35051,14.935104736329638,10702.831338608505,0.011,0.011,0.011,0.011,0.011
35055,15.066555360836798,10772.06220987528,0.02,0.02,0.02,0.02,0.02
35057,16.54725241031299,11588.554560969702,0.001,0.001,0.001,0.001,0.001
35058,15.217570114766195,11089.695450639481,0.0,0.0,0.0,0.0,0.0
35061,15.143997591371928,11116.142446825277,0.0,0.0,0.0,0.0,0.0
