zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_4000_incentive,prop_adopt_2_years_4000_incentive,prop_adopt_3_years_4000_incentive,prop_adopt_4_years_4000_incentive,prop_adopt_5_years_4000_incentive
99501,14.58792627190739,13274.790703206721,0.0,0.0,0.0,0.0,0.0
99502,14.56521514439672,13247.013551896904,0.0,0.0,0.0,0.003,0.004
99503,14.56200115536149,13335.90659558299,0.0,0.0,0.0,0.0,0.001
99504,14.558617745923055,13377.879495310357,0.0,0.0,0.0,0.0,0.002
99506,14.560742575870025,13424.490626282075,0.0,0.0,0.0,0.0,0.0
99507,14.566723780559133,13274.287048632053,0.0,0.0,0.0,0.003,0.006
99508,14.601880542804425,13290.30867658021,0.0,0.0,0.0,0.0,0.005
99515,14.569489908683668,13285.646537383718,0.0,0.0,0.0,0.0,0.0
99516,14.576145524711919,13192.248959728662,0.0,0.0,0.0,0.0,0.0
99517,14.575343959728121,13303.970290489513,0.0,0.0,0.0,0.0,0.0
99518,14.579759445374831,13372.93110086395,0.0,0.0,0.0,0.0,0.003
99701,15.747983570581912,13663.947276672665,0.0,0.0,0.0,0.0,0.0
99703,15.734432111834485,13730.096582412652,0.0,0.0,0.0,0.001,0.001
99709,15.728322106452618,13573.686271720324,0.0,0.0,0.0,0.0,0.001
99712,15.737788496679356,13601.488104535041,0.0,0.0,0.0,0.0,0.0
35004,14.978862861423545,10973.214929741358,0.005,0.005,0.005,0.005,0.005
35005,15.091133407363962,10987.151724074918,0.011,0.011,0.011,0.011,0.011
35007,15.046374709787088,10976.99250366226,0.007,0.007,0.007,0.007,0.007
35014,15.024646846555388,11010.513662680243,0.005,0.005,0.005,0.005,0.005
35020,14.985561892124911,10743.431234802387,0.03,0.03,0.03,0.03,0.03
35022,15.088331055107588,10893.324519666528,0.014,0.014,0.014,0.014,0.014
35023,15.087964542595529,10976.389132583869,0.011,0.011,0.011,0.011,0.011
35040,14.997360950817026,10953.164768231658,0.01,0.01,0.01,0.01,0.01
