zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_10000_incentive,prop_adopt_2_years_10000_incentive,prop_adopt_3_years_10000_incentive,prop_adopt_4_years_10000_incentive,prop_adopt_5_years_10000_incentive
99501,14.587906253013267,13305.176057345752,0.022,0.036,0.052,0.063,0.074
99502,14.574405426256119,13289.919954320114,0.008,0.031,0.054,0.073,0.098
99503,14.576815681935415,13351.632978100162,0.011,0.025,0.036,0.043,0.051
99504,14.561531177378162,13353.254485516742,0.019,0.027,0.037,0.041,0.047
99506,14.568611077428606,13434.443420528745,0.003,0.007,0.01,0.01,0.014
99507,14.562379906335874,13284.234995872648,0.021,0.04,0.05,0.067,0.089
99508,14.566118929812628,13319.244714404565,0.021,0.034,0.04,0.053,0.064
99515,14.558425857902174,13261.468130638867,0.027,0.048,0.066,0.079,0.089
99516,14.556874487464562,13177.78411381409,0.023,0.062,0.089,0.119,0.144
99517,14.581225238747374,13268.251073240008,0.038,0.052,0.063,0.073,0.084
99518,14.573374246047699,13369.00498244328,0.008,0.016,0.03,0.036,0.043
99701,15.729859826777657,13619.770711181518,0.023,0.028,0.037,0.04,0.05
99703,15.73280001764898,13745.755490170297,0.0,0.002,0.005,0.008,0.009
99709,15.742452483687531,13606.404962097286,0.004,0.015,0.034,0.052,0.069
99712,15.730038399513466,13603.323229616863,0.0,0.018,0.038,0.057,0.07
35004,14.98856690448813,10963.560240623248,0.05,0.05,0.05,0.05,0.05
35005,15.146164545228409,11053.443729022236,0.048,0.048,0.048,0.048,0.048
35007,15.01889087272284,10942.648143607177,0.057,0.057,0.057,0.057,0.057
35014,14.959781924473068,10931.658409361062,0.049,0.049,0.049,0.049,0.049
35020,14.961413416646293,10736.642526225169,0.089,0.089,0.089,0.089,0.089
35022,15.081559881803777,10835.888467078723,0.08,0.08,0.08,0.08,0.08
35023,15.053261401480842,10954.33932040787,0.046,0.046,0.046,0.046,0.046
