zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_5000_incentive,prop_adopt_2_years_5000_incentive,prop_adopt_3_years_5000_incentive,prop_adopt_4_years_5000_incentive,prop_adopt_5_years_5000_incentive
99501,14.587906253013267,13305.176057345752,0.0,0.0,0.0,0.0,0.001
99502,14.574405426256119,13289.919954320114,0.0,0.0,0.0,0.0,0.0
99503,14.576815681935415,13351.632978100162,0.0,0.0,0.0,0.0,0.004
99504,14.561531177378162,13353.254485516742,0.0,0.0,0.0,0.0,0.001
99506,14.568611077428606,13434.443420528745,0.0,0.0,0.0,0.0,0.0
99507,14.562379906335874,13284.234995872648,0.0,0.0,0.001,0.002,0.005
99508,14.566118929812628,13319.244714404565,0.0,0.0,0.0,0.0,0.005
99515,14.558425857902174,13261.468130638867,0.001,0.002,0.002,0.004,0.005
99516,14.556874487464562,13177.78411381409,0.0,0.0,0.0,0.001,0.002
99517,14.581225238747374,13268.251073240008,0.0,0.0,0.0,0.0,0.004
99518,14.573374246047699,13369.00498244328,0.0,0.0,0.001,0.002,0.005
99701,15.729859826777657,13619.770711181518,0.0,0.0,0.0,0.002,0.007
99703,15.73280001764898,13745.755490170297,0.0,0.0,0.0,0.0,0.0
99709,15.742452483687531,13606.404962097286,0.0,0.0,0.0,0.0,0.0
99712,15.730038399513466,13603.323229616863,0.0,0.0,0.0,0.0,0.0
35004,14.98856690448813,10963.560240623248,0.01,0.01,0.01,0.01,0.01
35005,15.146164545228409,11053.443729022236,0.006,0.006,0.006,0.006,0.006
35007,15.01889087272284,10942.648143607177,0.01,0.01,0.01,0.01,0.01
35014,14.959781924473068,10931.658409361062,0.016,0.016,0.016,0.016,0.016
35020,14.961413416646293,10736.642526225169,0.038,0.038,0.038,0.038,0.038
35022,15.081559881803777,10835.888467078723,0.028,0.028,0.028,0.028,0.028
35023,15.053261401480842,10954.33932040787,0.014,0.014,0.014,0.014,0.014
35040,15.024612712275738,10977.11846335433,0.009,0.009,0.009,0.009,0.009
35043,14.984060143194924,10823.52320218267,0.015,0.015,0.015,0.015,0.015
35044,14.833758869850083,10604.648165130464,0.046,0.046,0.046,0.046,0.046
35051,14.91501547796304,10658.567841767117,0.035,0.035,0.035,0.035,0.035
35055,15.166220173401602,10957.872209716055,0.015,0.015,0.015,0.015,0.015
35057,16.48319888237865,11537.580934803364,0.009,0.009,0.009,0.009,0.009
35058,15.184864888579037,11084.808284928968,0.01,0.01,0.01,0.01,0.01
