zip,panels_1_years_7000_incentive,panels_2_years_7000_incentive,panels_3_years_7000_incentive,panels_4_years_7000_incentive,panels_5_years_7000_incentive
99501,0,0,20,39,95
99502,0,0,0,50,189
99503,0,5,23,26,50
99504,15,23,45,91,174
99506,7,9,9,12,16
99507,0,0,0,75,240
99508,0,5,27,59,141
99515,16,27,32,81,145
99516,0,0,0,0,85
99517,0,0,0,4,55
99518,0,0,3,21,36
99701,0,0,0,0,34
99703,0,0,1,2,2
99709,16,28,48,52,80
99712,0,0,0,1,1
35004,2,2,2,2,2
35005,40,40,40,40,40
35007,237,237,237,237,237
35014,1,1,1,1,1
35020,405,405,405,405,405
35022,283,283,283,283,283
35023,95,95,95,95,95
35040,61,61,61,61,61
35043,0,0,0,0,0
35044,0,0,0,0,0
35051,0,0,0,0,0
35055,235,235,235,235,235
35057,10,10,10,10,10
35058,13,13,13,13,13
35061,7,7,7,7,7
35064,96,96,96,96,96
35068,48,48,48,48,48
35071,203,203,203,203,203
35072,0,0,0,0,0
35073,2,2,2,2,2
35077,10,10,10,10,10
35080,177,177,177,177,177
35094,81,81,81,81,81
35096,4,4,4,4,4
35111,33,33,33,33,33
35114,87,87,87,87,87
35115,26,26,26,26,26
35116,5,5,5,5,5
35117,86,86,86,86,86
35118,12,12,12,12,12
35124,335,335,335,335,335
35126,56,56,56,56,56
35127,57,57,57,57,57
35147,17,17,17,17,17
35150,159,159,159,159,159
35151,9,9,9,9,9
35160,103,103,103,103,103
35173,354,354,354,354,354
35176,2,2,2,2,2
35179,6,6,6,6,6
35184,0,0,0,0,0
35188,0,0,0,0,0
35203,38,38,38,38,38
35204,249,249,249,249,249
35205,155,155,155,155,155
35206,245,245,245,245,245
35207,254,254,254,254,254
35208,204,204,204,204,204
35209,243,243,243,243,243
35210,167,167,167,167,167
35211,489,489,489,489,489
35212,369,369,369,369,369
35213,372,372,372,372,372
35214,246,246,246,246,246
35215,528,528,528,528,528
35216,309,309,309,309,309
35217,281,281,281,281,281
35218,140,140,140,140,140
35221,94,94,94,94,94
35222,120,120,120,120,120
35223,380,380,380,380,380
35224,82,82,82,82,82
35226,533,533,533,533,533
35228,171,171,171,171,171
35233,76,76,76,76,76
35234,152,152,152,152,152
35235,190,190,190,190,190
35242,978,978,978,978,978
35243,303,303,303,303,303
35244,339,339,339,339,339
35401,774,774,774,774,774
35404,364,364,364,364,364
35405,365,365,365,365,365
35406,233,233,233,233,233
35444,0,0,0,0,0
35452,0,0,0,0,0
35453,54,54,54,54,54
35456,18,18,18,18,18
35463,1,1,1,1,1
35473,142,142,142,142,142
35474,20,20,20,20,20
35475,42,42,42,42,42
35476,156,156,156,156,156
35490,3,3,3,3,3
35601,221,221,221,221,221
35603,180,180,180,180,180
35611,209,209,209,209,209
35613,72,72,72,72,72
35614,15,15,15,15,15
35616,1,1,1,1,1
35630,421,421,421,421,421
35633,38,38,38,38,38
35634,6,6,6,6,6
35645,5,5,5,5,5
35660,148,148,148,148,148
35661,115,115,115,115,115
35671,7,7,7,7,7
35673,14,14,14,14,14
35674,64,64,64,64,64
35741,33,33,33,33,33
35748,12,12,12,12,12
35749,313,313,313,313,313
35750,1,1,1,1,1
35754,2,2,2,2,2
35756,137,137,137,137,137
35757,178,178,178,178,178
35758,632,632,632,632,632
35759,75,75,75,75,75
35761,42,42,42,42,42
35763,204,204,204,204,204
35773,7,7,7,7,7
35775,1,1,1,1,1
35801,359,359,359,359,359
35802,145,145,145,145,145
35803,110,110,110,110,110
35805,291,291,291,291,291
35806,250,250,250,250,250
35808,28,28,28,28,28
35810,230,230,230,230,230
35811,285,285,285,285,285
35816,243,243,243,243,243
35824,91,91,91,91,91
35901,122,122,122,122,122
35903,61,61,61,61,61
35904,66,66,66,66,66
35905,1,1,1,1,1
35906,2,2,2,2,2
35950,96,96,96,96,96
35951,32,32,32,32,32
35954,55,55,55,55,55
35956,4,4,4,4,4
35957,86,86,86,86,86
35976,48,48,48,48,48
35980,2,2,2,2,2
36020,21,21,21,21,21
36022,29,29,29,29,29
36025,23,23,23,23,23
36043,4,4,4,4,4
36054,131,131,131,131,131
36064,5,5,5,5,5
36066,241,241,241,241,241
36067,237,237,237,237,237
36079,16,16,16,16,16
36081,129,129,129,129,129
36092,46,46,46,46,46
36093,68,68,68,68,68
36104,231,231,231,231,231
36105,97,97,97,97,97
36106,186,186,186,186,186
36107,121,121,121,121,121
36108,570,570,570,570,570
36109,412,412,412,412,412
36110,134,134,134,134,134
36111,187,187,187,187,187
36112,0,0,0,0,0
36113,2,2,2,2,2
36115,1,1,1,1,1
36116,532,532,532,532,532
36117,505,505,505,505,505
36201,158,158,158,158,158
36203,124,124,124,124,124
36205,14,14,14,14,14
36206,67,67,67,67,67
36207,135,135,135,135,135
36250,0,0,0,0,0
36260,1,1,1,1,1
36265,90,90,90,90,90
36268,4,4,4,4,4
36277,6,6,6,6,6
36301,351,351,351,351,351
36303,379,379,379,379,379
36305,112,112,112,112,112
36312,0,0,0,0,0
36321,1,1,1,1,1
36322,26,26,26,26,26
36330,245,245,245,245,245
36345,60,60,60,60,60
36350,14,14,14,14,14
36351,1,1,1,1,1
36360,155,155,155,155,155
36362,24,24,24,24,24
36376,0,0,0,0,0
36509,26,26,26,26,26
36511,2,2,2,2,2
36523,9,9,9,9,9
36526,253,253,253,253,253
36527,193,193,193,193,193
36530,2,2,2,2,2
36532,640,640,640,640,640
36535,326,326,326,326,326
36541,37,37,37,37,37
36542,57,57,57,57,57
36544,76,76,76,76,76
36551,86,86,86,86,86
36555,11,11,11,11,11
36561,171,171,171,171,171
36567,84,84,84,84,84
36571,154,154,154,154,154
36572,52,52,52,52,52
36575,180,180,180,180,180
36576,37,37,37,37,37
36580,44,44,44,44,44
36582,246,246,246,246,246
36587,11,11,11,11,11
36602,37,37,37,37,37
36603,215,215,215,215,215
36604,181,181,181,181,181
36605,397,397,397,397,397
36606,183,183,183,183,183
36607,190,190,190,190,190
36608,511,511,511,511,511
36609,339,339,339,339,339
36610,288,288,288,288,288
36611,137,137,137,137,137
36612,76,76,76,76,76
36613,106,106,106,106,106
36617,119,119,119,119,119
36618,166,166,166,166,166
36619,155,155,155,155,155
36693,223,223,223,223,223
36695,629,629,629,629,629
36752,0,0,0,0,0
36801,189,189,189,189,189
36804,55,55,55,55,55
36830,507,507,507,507,507
36832,157,157,157,157,157
36856,4,4,4,4,4
36867,474,474,474,474,474
36869,347,347,347,347,347
36870,278,278,278,278,278
36875,3,3,3,3,3
36877,84,84,84,84,84
36879,1,1,1,1,1
71601,309,439,3106,6678,6815
71602,49,258,2569,6035,6091
71603,126,730,5510,12227,12428
71837,0,0,3,6,6
71854,430,776,5132,11697,11817
71901,48,278,1918,5931,5998
71913,91,416,3026,9973,10065
71956,0,0,2,8,8
71964,1,2,31,118,118
71968,0,1,11,43,43
72002,37,174,1457,3618,3700
72007,16,82,734,1742,1767
72011,0,16,145,380,386
72012,28,115,1389,3431,3466
72015,89,386,3638,9758,9828
