zip,panels_1_years_5000_incentive,panels_2_years_5000_incentive,panels_3_years_5000_incentive,panels_4_years_5000_incentive,panels_5_years_5000_incentive
99501,0,0,0,0,16
99502,0,0,0,0,0
99503,0,0,0,5,23
99504,0,0,15,23,45
99506,0,3,7,9,9
99507,0,0,0,0,0
99508,0,0,0,5,23
99515,0,0,16,27,32
99516,0,0,0,0,0
99517,0,0,0,0,0
99518,0,0,0,0,3
99701,0,0,0,0,0
99703,0,0,0,0,1
99709,0,0,16,28,48
99712,0,0,0,0,0
35004,1,1,1,1,1
35005,30,30,30,30,30
35007,158,158,158,158,158
35014,1,1,1,1,1
35020,294,294,294,294,294
35022,148,148,148,148,148
35023,63,63,63,63,63
35040,33,33,33,33,33
35043,0,0,0,0,0
35044,0,0,0,0,0
35051,0,0,0,0,0
35055,167,167,167,167,167
35057,4,4,4,4,4
35058,1,1,1,1,1
35061,4,4,4,4,4
35064,57,57,57,57,57
35068,14,14,14,14,14
35071,64,64,64,64,64
35072,0,0,0,0,0
35073,1,1,1,1,1
35077,7,7,7,7,7
35080,10,10,10,10,10
35094,31,31,31,31,31
35096,2,2,2,2,2
35111,13,13,13,13,13
35114,22,22,22,22,22
35115,10,10,10,10,10
35116,2,2,2,2,2
35117,48,48,48,48,48
35118,0,0,0,0,0
35124,63,63,63,63,63
35126,22,22,22,22,22
35127,17,17,17,17,17
35147,10,10,10,10,10
35150,106,106,106,106,106
35151,4,4,4,4,4
35160,62,62,62,62,62
35173,32,32,32,32,32
35176,1,1,1,1,1
35179,2,2,2,2,2
35184,0,0,0,0,0
35188,0,0,0,0,0
35203,24,24,24,24,24
35204,167,167,167,167,167
35205,76,76,76,76,76
35206,152,152,152,152,152
35207,155,155,155,155,155
35208,117,117,117,117,117
35209,52,52,52,52,52
35210,70,70,70,70,70
35211,337,337,337,337,337
35212,239,239,239,239,239
35213,51,51,51,51,51
35214,92,92,92,92,92
35215,390,390,390,390,390
35216,81,81,81,81,81
35217,213,213,213,213,213
35218,115,115,115,115,115
35221,76,76,76,76,76
35222,26,26,26,26,26
35223,100,100,100,100,100
35224,56,56,56,56,56
35226,99,99,99,99,99
35228,116,116,116,116,116
35233,51,51,51,51,51
35234,85,85,85,85,85
35235,80,80,80,80,80
35242,221,221,221,221,221
35243,32,32,32,32,32
35244,36,36,36,36,36
35401,554,554,554,554,554
35404,269,269,269,269,269
35405,243,243,243,243,243
35406,117,117,117,117,117
35444,0,0,0,0,0
35452,0,0,0,0,0
35453,21,21,21,21,21
35456,11,11,11,11,11
35463,0,0,0,0,0
35473,71,71,71,71,71
35474,11,11,11,11,11
35475,9,9,9,9,9
35476,110,110,110,110,110
35490,1,1,1,1,1
35601,95,95,95,95,95
35603,20,20,20,20,20
35611,82,82,82,82,82
35613,0,0,0,0,0
35614,5,5,5,5,5
35616,1,1,1,1,1
35630,216,216,216,216,216
35633,8,8,8,8,8
35634,0,0,0,0,0
35645,1,1,1,1,1
35660,81,81,81,81,81
35661,93,93,93,93,93
35671,1,1,1,1,1
35673,6,6,6,6,6
35674,6,6,6,6,6
35741,0,0,0,0,0
35748,2,2,2,2,2
35749,37,37,37,37,37
35750,0,0,0,0,0
35754,1,1,1,1,1
35756,12,12,12,12,12
35757,53,53,53,53,53
35758,231,231,231,231,231
35759,12,12,12,12,12
35761,13,13,13,13,13
35763,0,0,0,0,0
35773,3,3,3,3,3
35775,1,1,1,1,1
35801,68,68,68,68,68
35802,21,21,21,21,21
35803,50,50,50,50,50
35805,156,156,156,156,156
35806,76,76,76,76,76
35808,8,8,8,8,8
35810,81,81,81,81,81
35811,87,87,87,87,87
35816,183,183,183,183,183
35824,29,29,29,29,29
35901,83,83,83,83,83
35903,42,42,42,42,42
35904,45,45,45,45,45
35905,0,0,0,0,0
35906,1,1,1,1,1
35950,38,38,38,38,38
35951,18,18,18,18,18
35954,39,39,39,39,39
35956,2,2,2,2,2
35957,44,44,44,44,44
35976,23,23,23,23,23
35980,0,0,0,0,0
36020,13,13,13,13,13
36022,22,22,22,22,22
36025,15,15,15,15,15
36043,3,3,3,3,3
36054,56,56,56,56,56
36064,1,1,1,1,1
36066,145,145,145,145,145
36067,143,143,143,143,143
36079,2,2,2,2,2
36081,77,77,77,77,77
36092,18,18,18,18,18
36093,35,35,35,35,35
36104,154,154,154,154,154
36105,54,54,54,54,54
36106,79,79,79,79,79
36107,64,64,64,64,64
36108,373,373,373,373,373
36109,244,244,244,244,244
36110,84,84,84,84,84
36111,101,101,101,101,101
36112,0,0,0,0,0
36113,0,0,0,0,0
36115,0,0,0,0,0
36116,288,288,288,288,288
36117,237,237,237,237,237
36201,125,125,125,125,125
36203,86,86,86,86,86
36205,8,8,8,8,8
36206,44,44,44,44,44
36207,92,92,92,92,92
36250,0,0,0,0,0
36260,0,0,0,0,0
36265,54,54,54,54,54
36268,3,3,3,3,3
36277,3,3,3,3,3
36301,263,263,263,263,263
36303,211,211,211,211,211
36305,52,52,52,52,52
36312,0,0,0,0,0
36321,0,0,0,0,0
36322,20,20,20,20,20
36330,123,123,123,123,123
36345,34,34,34,34,34
36350,7,7,7,7,7
36351,0,0,0,0,0
36360,120,120,120,120,120
36362,19,19,19,19,19
36376,0,0,0,0,0
36509,18,18,18,18,18
36511,0,0,0,0,0
36523,6,6,6,6,6
36526,19,19,19,19,19
36527,86,86,86,86,86
36530,1,1,1,1,1
36532,374,374,374,374,374
36535,173,173,173,173,173
36541,14,14,14,14,14
36542,18,18,18,18,18
36544,50,50,50,50,50
36551,45,45,45,45,45
36555,4,4,4,4,4
36561,38,38,38,38,38
36567,30,30,30,30,30
36571,77,77,77,77,77
36572,19,19,19,19,19
36575,68,68,68,68,68
36576,17,17,17,17,17
36580,29,29,29,29,29
36582,192,192,192,192,192
36587,8,8,8,8,8
36602,16,16,16,16,16
36603,152,152,152,152,152
36604,123,123,123,123,123
36605,249,249,249,249,249
36606,85,85,85,85,85
36607,126,126,126,126,126
36608,261,261,261,261,261
36609,211,211,211,211,211
36610,211,211,211,211,211
36611,98,98,98,98,98
36612,48,48,48,48,48
36613,80,80,80,80,80
36617,67,67,67,67,67
36618,99,99,99,99,99
36619,64,64,64,64,64
36693,133,133,133,133,133
36695,349,349,349,349,349
36752,0,0,0,0,0
36801,76,76,76,76,76
36804,39,39,39,39,39
36830,295,295,295,295,295
36832,117,117,117,117,117
36856,1,1,1,1,1
36867,320,320,320,320,320
36869,241,241,241,241,241
36870,121,121,121,121,121
36875,2,2,2,2,2
36877,36,36,36,36,36
36879,0,0,0,0,0
71601,185,384,494,6575,6774
71602,0,135,363,5980,6066
71603,0,440,881,12038,12353
71837,0,0,0,6,6
71854,227,561,1003,11387,11769
71901,0,115,375,5743,5955
71913,0,244,528,9638,10034
71956,0,0,0,8,8
71964,1,1,2,117,118
71968,0,0,1,42,43
72002,26,67,234,3566,3663
72007,2,55,89,1721,1751
72011,0,4,21,375,383
72012,0,70,136,3379,3438
72015,0,247,524,9610,9798
72019,0,151,341,5391,5498
72022,0,65,207,5319,5401
72023,0,143,536,11581,11819
72065,0,5,13,155,159
72068,0,0,0,15,15
72076,0,420,660,11555,11831
72081,0,3,12,332,339
72082,1,4,6,256,262
72086,0,29,88,1443,1488
72103,0,66,107,3050,3107
72113,0,118,443,6538,6773
72114,0,275,463,3734,3893
72116,26,171,357,5006,5105
72117,0,230,454,5333,5518
72118,0,163,320,6092,6174
72120,0,180,435,9090,9355
72135,0,8,25,255,264
72142,2,30,52,733,749
72143,0,125,298,5781,5894
72167,0,0,1,10,11
72176,0,36,113,2038,2080
72201,6,31,73,575,595
72202,12,138,288,2716,2814
72204,0,247,532,7176,7378
72205,0,158,389,4988,5162
72206,26,409,775,8278,8540
72207,15,94,301,2305,2411
72209,52,271,452,6222,6389
72210,14,75,154,3427,3520
72211,0,123,402,5058,5251
72212,4,149,432,3252,3411
72223,11,166,647,4947,5150
72227,15,138,300,2225,2329
72364,0,1,1,26,27
72376,0,0,0,2,2
72401,357,698,1299,15566,15972
72404,35,154,393,6779,6948
72411,0,0,1,36,36
72416,10,15,29,585,595
72417,0,0,0,62,63
72701,255,714,1309,8137,8350
72703,15,322,982,7221,7401
72704,19,306,732,6119,6271
72712,64,759,2532,10044,10482
72718,0,18,57,356,370
72719,16,118,328,2651,2697
72730,3,32,114,1432,1445
72745,12,42,168,2434,2461
72753,0,0,0,1,1
72756,0,126,324,6437,6556
72758,18,359,1164,8394,8639
72762,23,492,1464,11339,11585
72764,74,431,1122,12081,12205
72774,0,0,0,2,2
72801,0,199,376,5341,5463
72802,0,33,133,2435,2470
72834,11,29,53,1071,1086
72837,0,0,1,15,16
72847,0,6,10,186,189
72858,0,8,19,304,311
72901,64,193,350,7016,7095
72903,33,266,523,8081,8189
72904,51,269,486,6215,6286
72908,0,89,233,4847,4906
72916,7,135,293,2303,2356
72921,0,12,22,349,356
72923,2,30,63,1631,1646
72941,0,2,6,114,115
72956,171,320,641,10420,10559
85003,0,1109,2198,2223,2227
85004,16,828,1596,1627,1627
85006,70,3397,6962,7047,7047
85007,78,2307,4833,4877,4877
85008,53,4871,10503,10555,10555
85009,216,6053,13374,13482,13482
85012,16,1094,2199,2228,2228
85013,56,2681,5554,5627,5627
85014,47,3023,6620,6660,6660
85015,0,3889,8199,8232,8240
85016,81,4765,10017,10149,10149
85017,127,3719,7801,7912,7912
85018,83,5850,11747,11926,11926
85019,0,1118,6673,6727,6727
85020,10,4984,10355,10449,10449
85021,83,4209,9149,9242,9242
85022,15,6906,14922,15027,15027
85023,49,4504,9810,9889,9889
85024,23,3689,7640,7709,7709
85027,12,5503,11960,12057,12057
85028,8,4021,8034,8123,8123
85029,122,5592,12087,12184,12184
85031,35,1265,6880,6915,6915
85032,21,9828,20719,20823,20823
85033,0,2033,12250,12324,12324
85034,70,1537,3116,3166,3166
85035,10,1530,9584,9622,9622
85037,104,6019,12921,13012,13012
85040,19,1970,9356,9508,9508
85041,89,2968,17790,17897,17897
85042,25,2372,12466,12604,12604
85043,80,1528,9943,10034,10034
85044,63,2971,12461,12574,12574
85045,9,687,2267,2320,2320
85048,12,2822,11356,11599,11599
85050,21,5406,10481,10695,10695
85051,0,1837,11214,11270,11270
85053,90,4244,8938,9010,9010
85054,21,633,1310,1329,1329
85083,32,3191,6236,6363,6363
85085,0,1992,4129,4167,4167
85118,37,2806,6144,6175,6175
85119,40,1748,9986,10046,10046
85120,0,2273,14107,14192,14206
85132,43,1617,3286,3316,3316
85140,0,2281,10530,10658,10658
85142,82,4965,20022,20411,20411
85143,66,2681,13179,13272,13272
85201,0,1783,10322,10405,10405
85202,28,1564,9207,9272,9272
85203,72,1858,10150,10263,10263
85204,0,2768,16676,16794,16794
85205,0,3163,16779,16914,16914
85206,0,2664,14613,14716,14716
85207,76,4345,18810,19077,19077
85208,111,2567,15749,15812,15812
85209,97,3016,16068,16230,16230
85210,36,1604,8864,8963,8963
85212,0,1751,7362,7451,7451
85213,69,2648,11337,11486,11486
85215,50,3882,8275,8367,8367
85224,82,2788,13595,13732,13732
85225,61,3916,20105,20288,20288
85226,38,2911,12454,12657,12657
85233,90,2643,12688,12829,12829
85234,0,4120,16231,16478,16478
85248,80,8014,15772,16012,16012
85249,16,4939,15702,16120,16120
85250,95,3518,7181,7298,7298
85251,95,4871,10460,10534,10534
85253,0,4448,8127,8378,8378
85254,83,8285,16403,16653,16653
85255,121,9056,17005,17265,17265
85256,23,850,1771,1794,1794
85257,57,4545,9441,9518,9518
85258,137,5360,10330,10563,10563
85259,0,4340,8422,8602,8602
85260,103,6198,12640,12794,12794
85262,63,3278,6105,6255,6255
85266,0,3535,6705,6870,6870
85268,83,2500,10227,10393,10393
85281,271,5147,10673,10847,10847
85282,60,2850,14760,14909,14909
85283,133,2580,11864,12045,12045
85284,22,2125,7061,7234,7234
85286,0,3296,13346,13494,13494
85295,54,3322,13287,13503,13503
85296,15,3471,14471,14647,14647
85297,0,2788,10354,10533,10533
85298,0,3660,12355,12607,12607
85301,52,2316,12825,12954,12954
85302,151,2046,10641,10759,10759
85303,27,1407,8795,8848,8848
85304,0,4053,8700,8726,8726
85305,0,1525,3242,3255,3255
85306,16,3722,8025,8073,8073
85307,0,1332,2914,2917,2917
85308,253,11304,22768,22998,22998
85310,8,3524,7472,7563,7563
85323,0,5114,11543,11566,11566
85326,30,6658,15071,15147,15147
85329,2,74,152,154,154
85331,58,7390,14188,14462,14462
85335,54,4912,10838,10892,10892
85338,0,5699,12311,12361,12361
85339,54,6513,13336,13485,13485
85340,40,4682,9978,10059,10059
85345,269,8825,19015,19226,19226
85350,0,104,219,221,221
85351,170,8026,16833,16969,16969
85353,21,4812,10642,10717,10717
85355,20,1946,4038,4075,4075
85363,16,1018,2233,2246,2246
85364,282,8952,19940,20162,20162
85365,239,6363,13937,14092,14092
85367,95,3871,8583,8661,8661
85373,45,4095,8866,8902,8902
85374,91,8548,18102,18266,18266
85375,0,7383,16970,17056,17056
85377,2,118,229,234,234
85378,21,1579,3405,3439,3439
85379,0,6896,14369,14456,14456
85381,34,3859,8369,8437,8437
85382,119,7211,14796,14915,14915
85383,0,9058,17758,17937,17937
85387,14,1548,3552,3570,3570
85388,102,4318,9201,9266,9266
85392,11,5016,11085,11197,11197
85395,45,5441,11188,11335,11335
85396,7,1590,3232,3278,3278
85607,81,3710,5718,5764,5764
85621,0,328,3184,3240,3240
85626,1,72,109,111,111
85648,0,111,2236,2254,2254
85658,0,1838,3430,3454,3454
85701,31,906,1875,1907,1907
85704,129,5640,11655,11761,11761
85705,395,7037,14970,15183,15183
85706,206,5969,12816,12919,12919
85708,1,307,663,666,666
85710,34,7918,16930,17084,17084
85711,13,6280,13368,13476,13476
85712,92,4988,10119,10211,10211
85713,125,6615,13713,13852,13852
85714,30,2334,4942,4972,4972
85715,0,3502,7192,7272,7272
85716,108,5166,10666,10785,10785
85718,103,5888,11227,11421,11421
85719,60,5660,11861,12005,12005
85730,89,5893,12681,12770,12770
85735,0,89,195,196,196
85736,0,4,15,15,15
85737,57,3923,8058,8148,8148
85739,1,38,74,75,75
85741,0,5170,11329,11363,11363
85742,50,4739,9941,10051,10051
85743,13,1080,2186,2204,2204
85745,139,5948,12503,12642,12642
85746,76,5924,12478,12591,12591
85747,58,3941,8298,8339,8339
85748,8,3720,7587,7671,7671
85749,51,4512,8380,8474,8474
85750,41,5096,10038,10232,10232
85755,0,3625,7377,7421,7421
85756,59,3343,7271,7315,7315
85757,20,1075,2243,2268,2268
85901,47,2117,3904,3927,3927
85929,20,1061,1932,1948,1948
86001,143,4722,8322,8432,8432
86004,104,3784,6801,6905,6905
86005,0,29,55,55,55
86011,0,10,17,17,17
86040,0,725,2591,2607,2607
86301,40,5796,9988,10028,10028
86303,18,2604,4544,4581,4581
86305,31,2931,5178,5215,5215
86314,40,7246,13429,13482,13482
86315,16,979,1736,1750,1750
86323,11,1997,3536,3551,3551
86325,0,7,13,13,13
86327,19,1218,2143,2147,2147
86329,0,59,109,109,109
86336,105,3815,6943,7013,7013
86351,28,1061,1851,1872,1872
86403,0,407,8794,8874,8874
86404,0,2885,7502,7532,7532
86406,0,4202,11401,11458,11470
86434,0,0,1,1,1
90001,10,510,9719,9827,9827
90002,34,632,8346,8422,8422
90003,0,1671,11593,11674,11674
90004,13,918,6517,6610,6610
90005,0,248,1716,1737,1737
90006,0,505,4465,4501,4501
90007,20,733,3931,4015,4015
90008,18,1001,6007,6093,6093
90010,0,57,301,305,305
90011,64,718,12670,12798,12798
90012,0,273,1588,1599,1599
90013,0,142,542,557,557
90014,0,60,232,238,238
90015,0,335,1675,1709,1709
90016,46,1255,9210,9285,9285
90017,5,106,553,562,562
90018,0,1168,8166,8290,8290
90019,128,1679,10434,10625,10625
90020,3,224,1585,1606,1606
90021,15,371,1584,1623,1623
90022,109,645,10854,10942,10942
90023,0,429,7367,7426,7426
90024,4,856,3538,3633,3633
90025,19,1020,4665,4746,4746
90026,0,1746,9751,9900,9900
90027,0,1304,6519,6618,6618
90028,8,365,2080,2112,2112
90029,0,591,3690,3724,3724
90031,6,876,5730,5800,5800
90032,0,688,8070,8169,8169
90033,0,461,6241,6310,6310
90034,0,1165,6897,6967,6967
90035,53,1147,5215,5311,5311
90036,28,1089,5453,5541,5541
90037,0,1086,8307,8365,8365
90038,6,490,3166,3198,3198
90039,0,1492,7003,7161,7161
90040,0,271,3265,3308,3308
90041,0,1180,5579,5675,5675
90042,0,966,9460,9565,9565
90043,0,1612,11668,11943,11943
90044,31,1365,15124,15354,15354
90045,0,1905,10329,10583,10583
90046,0,1224,6740,6850,6850
90047,0,1226,12724,12905,12905
90048,0,1119,4495,4611,4611
90049,0,2403,7981,8210,8210
90056,0,465,2555,2615,2615
90057,7,193,1420,1439,1439
90058,8,143,2089,2112,2112
90059,0,629,6895,6979,6979
90061,0,616,5729,5810,5810
90062,33,898,6516,6589,6589
90063,9,448,9090,9145,9145
90064,7,1736,6894,7035,7035
90065,0,1752,9104,9271,9271
90066,23,2297,11265,11494,11494
90067,0,56,209,212,212
90068,37,968,4603,4683,4683
90069,0,751,3337,3415,3415
90077,15,1032,2834,2928,2928
90094,0,106,345,355,355
90201,0,581,13105,13171,13171
90210,76,2230,6663,6876,6876
90211,3,422,1681,1729,1729
90212,0,492,2030,2076,2076
90220,0,907,11379,11505,11505
90221,0,663,10125,10217,10217
90222,67,462,6622,6709,6709
90230,25,1476,6097,6209,6209
90232,4,1014,4019,4114,4114
90240,0,776,6366,6457,6457
90241,0,585,8940,8994,9003
90242,0,548,8330,8423,8423
90245,26,974,4956,5125,5125
90247,65,706,9154,9293,9293
90248,9,427,4217,4282,4282
90249,0,706,7023,7137,7137
90250,0,1464,16302,16450,16450
90254,0,1167,4963,5107,5107
90255,0,633,9798,9887,9887
90260,23,418,7678,7740,7740
90262,0,530,10726,10812,10812
90265,0,1571,5757,5935,5935
90266,0,3060,11008,11396,11396
90270,0,179,3479,3503,3503
90272,0,2469,7347,7693,7693
90274,0,2612,8812,9123,9123
90275,0,3296,13590,13995,13995
90277,0,1353,8237,8405,8405
90278,11,1968,10600,10850,10850
90280,0,843,15202,15325,15325
90290,0,331,1579,1626,1626
90291,0,1611,6544,6691,6691
90292,5,422,1641,1675,1675
90293,0,305,1804,1848,1848
90301,0,402,5779,5820,5820
90302,0,353,4723,4785,4785
90303,27,375,5282,5352,5352
90304,5,275,4452,4501,4501
90305,0,324,4389,4438,4438
90401,6,178,686,708,708
90402,27,1147,3230,3341,3341
90403,6,823,3022,3106,3106
90404,0,702,3247,3307,3307
90405,6,1493,5380,5523,5523
90501,59,1037,9610,9806,9806
90502,0,315,4578,4638,4638
90503,20,1421,9839,10019,10019
90504,0,1084,8853,9025,9025
90505,0,1408,9777,9997,9997
90601,32,742,7980,8077,8077
90602,0,307,4813,4857,4857
90603,0,713,5925,6034,6034
90604,0,979,9350,9502,9502
90605,58,957,9518,9663,9663
90606,0,561,7534,7579,7579
90620,0,1166,12282,12558,12558
90621,0,478,6434,6552,6552
90623,0,524,4189,4332,4332
90630,0,1558,13093,13429,13442
90631,0,1445,16449,16785,16785
90638,0,1566,13247,13490,13490
90640,91,1133,12823,13005,13005
90650,0,1555,21995,22217,22217
90660,0,1352,14158,14345,14345
90670,12,451,5959,6025,6025
90680,0,445,5865,5991,5997
90701,0,347,4099,4140,4140
90703,0,2152,14316,14623,14623
90706,15,1199,15205,15359,15359
90710,41,533,5772,5860,5860
90712,30,1103,9756,9935,9935
90713,0,1164,9121,9241,9241
90715,9,323,4248,4304,4304
90716,0,105,2384,2398,2398
90717,0,668,5556,5652,5652
90720,0,1216,6902,7211,7211
90723,0,411,9517,9584,9584
90731,0,1278,12095,12304,12304
90732,0,946,5578,5704,5704
90740,0,658,6085,6261,6267
90744,0,647,9718,9816,9816
90745,0,1444,13050,13262,13262
90746,0,1132,8111,8243,8243
90755,0,290,2757,2788,2788
90802,6,290,3005,3057,3057
90803,0,1107,8352,8461,8461
90804,0,381,5729,5775,5775
90805,0,1154,17030,17219,17219
90806,0,518,7435,7502,7502
90807,58,1044,8160,8284,8284
90808,0,2098,13365,13583,13597
90810,0,579,7740,7834,7834
90813,40,448,6625,6692,6692
90814,0,407,4094,4152,4152
90815,0,1617,11775,11991,11991
91001,0,1691,9183,9448,9448
91006,29,1588,9501,9685,9685
91007,0,887,7709,7858,7858
91008,0,110,502,517,517
91010,19,597,6225,6295,6295
91011,0,1780,5830,6048,6048
91016,11,1167,10329,10518,10518
91020,0,286,1516,1545,1545
91024,0,526,2952,3000,3000
91030,0,720,4424,4506,4506
91040,0,665,5590,5692,5692
91042,0,675,6211,6306,6306
91101,17,294,1376,1406,1406
91103,0,729,4719,4825,4825
91104,0,983,7233,7381,7381
91105,0,647,2604,2693,2693
91106,0,533,3813,3895,3895
91107,0,1556,9291,9490,9490
91108,0,1101,4048,4186,4186
91201,0,715,4446,4468,4468
91202,0,765,4034,4099,4099
91203,0,257,1652,1672,1672
91204,8,249,1916,1934,1934
91205,29,612,4107,4161,4161
91206,0,617,4679,4779,4779
91207,0,587,2510,2553,2553
91208,0,788,3865,3940,3940
91214,0,1397,7779,7946,7946
91301,0,1678,7208,7393,7393
91302,47,2069,7492,7788,7788
91303,35,403,3187,3216,3216
91304,0,1151,9611,9777,9777
91306,45,1374,8826,8933,8933
91307,16,1308,7842,8019,8019
91311,0,1430,10156,10384,10384
91316,10,942,5068,5150,5150
91320,14,2383,13474,13920,13920
91321,0,687,6200,6295,6295
91324,0,1041,6041,6109,6109
91325,47,1176,6552,6652,6652
91326,0,1932,10018,10296,10296
91331,0,1321,17846,18063,18063
91335,105,2053,12932,13089,13089
91340,14,1049,7115,7194,7194
91342,0,1449,17460,17690,17690
91343,159,1669,10429,10642,10642
91344,0,2118,14385,14709,14709
91345,9,683,4471,4525,4525
91350,0,1451,9997,10159,10159
91351,0,853,8316,8435,8435
91352,0,1511,10364,10490,10490
91354,32,1426,7873,8050,8050
91355,32,1070,8003,8108,8108
91356,31,1076,5979,6108,6108
91360,0,1730,12300,12628,12628
91361,0,1250,6973,7137,7137
91362,0,2078,10721,11121,11121
91364,0,1304,7029,7202,7202
91367,0,1259,8697,8874,8874
91377,0,813,3939,4107,4107
91381,0,1037,4626,4779,4779
91384,0,4,31,32,32
91387,15,535,3704,3795,3795
91390,0,499,2783,2849,2849
91401,102,1024,6734,6837,6837
91402,0,851,6967,7037,7037
91403,0,925,4376,4443,4443
91405,18,722,5901,5967,5967
91406,0,1381,9273,9376,9376
91411,3,523,3256,3302,3302
91423,28,1267,5558,5672,5672
91436,0,1358,4511,4636,4636
91501,0,618,3437,3454,3454
91502,3,225,1514,1528,1528
91504,0,1204,6051,6149,6149
91505,0,1636,8651,8756,8756
91506,0,1177,5616,5724,5724
91601,63,768,5188,5257,5257
91602,9,491,2973,3012,3012
91604,17,1392,5667,5771,5771
91605,39,1294,9683,9801,9801
91606,7,1042,6961,7038,7038
91607,13,739,4321,4369,4369
91701,0,1600,11901,12057,12057
91702,0,774,12382,12494,12494
91706,62,820,15414,15507,15507
91708,0,149,1798,1811,1811
91709,0,3160,19698,20038,20038
91710,0,2332,20942,21154,21154
91711,0,1632,9819,10051,10051
91722,0,692,8421,8541,8541
91723,9,366,4257,4304,4304
91724,0,623,7171,7243,7243
91730,0,1634,14976,15142,15142
91731,5,246,5305,5342,5342
91732,11,745,11175,11254,11254
91733,9,578,9084,9167,9167
91737,0,1193,6926,7060,7060
91739,0,1944,9581,9757,9767
91740,7,588,6778,6840,6840
91741,9,1289,8867,9038,9038
91744,0,1343,16606,16791,16791
91745,0,1938,14211,14575,14575
91746,0,695,7274,7333,7333
91748,0,1269,11530,11646,11658
91750,0,1475,11013,11250,11250
91752,0,805,8666,8754,8754
91754,0,937,8132,8265,8265
91755,0,491,5996,6045,6045
91761,45,1287,15009,15160,15160
91762,0,1081,12955,13033,13033
91763,0,608,8205,8237,8237
91764,0,704,10274,10325,10325
91765,0,1777,12514,12769,12769
91766,0,1252,14069,14225,14225
91767,0,777,10244,10358,10358
91768,7,379,6596,6656,6656
91770,14,967,14303,14433,14433
91773,10,1315,9956,10128,10128
91775,0,900,6346,6476,6476
91776,71,602,7796,7907,7907
91780,0,1375,10165,10415,10415
91784,0,1851,8952,9172,9172
91786,0,1239,12041,12150,12150
91789,0,1942,12852,13169,13169
91790,0,1203,10993,11149,11149
91791,0,905,8079,8219,8219
91792,0,482,5955,6021,6021
91801,10,797,9489,9594,9594
91803,0,626,6578,6651,6651
91902,137,5384,5709,5720,5720
91910,256,16352,17034,17051,17051
91911,399,16165,16581,16614,16614
91913,364,9506,10114,10134,10134
91914,142,3696,4058,4066,4066
91915,150,6169,6514,6527,6527
91932,102,5187,5336,5347,5347
91935,17,303,334,335,335
91941,288,9336,9922,9942,9942
91942,225,9353,9734,9753,9753
91945,133,7175,7374,7381,7381
91950,258,10447,10759,10792,10792
91977,337,12968,13467,13481,13481
91978,44,2659,2773,2776,2776
92003,18,1929,2050,2052,2052
92007,103,2887,3207,3207,3207
92008,180,7633,8182,8190,8190
92009,770,10531,12011,12035,12035
92010,199,4396,4713,4727,4727
92011,208,6571,7189,7196,7196
92014,307,4989,5795,5795,5795
92019,195,10309,10817,10839,10839
92020,260,11882,12390,12427,12427
92021,280,10767,11136,11159,11159
92024,884,14842,16364,16380,16380
92025,445,10538,11106,11150,11150
92026,224,12530,13109,13161,13161
92027,430,12781,13373,13480,13480
92028,196,7420,7852,7860,7860
92029,239,6945,7491,7491,7491
92037,461,10792,11820,11844,11844
92040,368,10949,11478,11489,11489
92054,182,9221,9555,9555,9555
92056,120,14377,14977,14977,14977
92057,371,13616,14259,14288,14288
92058,100,6996,7147,7161,7161
92059,1,34,36,36,36
92064,323,13524,14655,14684,14684
92067,109,1572,1839,1841,1841
92069,398,10715,11364,11375,11375
92071,321,14584,15272,15303,15303
92075,129,3512,3894,3902,3902
92078,497,12125,13066,13079,13079
92081,231,7863,8234,8234,8234
92082,15,891,938,938,938
92083,103,7686,7908,7932,7932
92084,375,12273,12906,12919,12919
92091,128,1251,1405,1415,1415
