zip,panels_1_years_2000_incentive,panels_2_years_2000_incentive,panels_3_years_2000_incentive,panels_4_years_2000_incentive,panels_5_years_2000_incentive
99501,0,0,0,0,0
99502,0,0,0,0,0
99503,0,0,0,0,0
99504,0,0,0,0,8
99506,0,0,0,1,6
99507,0,0,0,0,0
99508,0,0,0,0,0
99515,0,0,0,0,11
99516,0,0,0,0,0
99517,0,0,0,0,0
99518,0,0,0,0,0
99701,0,0,0,0,0
99703,0,0,0,0,0
99709,0,0,0,0,0
99712,0,0,0,0,0
35004,0,0,0,0,0
35005,0,0,0,0,0
35007,47,47,47,47,47
35014,0,0,0,0,0
35020,71,71,71,71,71
35022,0,0,0,0,0
35023,21,21,21,21,21
35040,15,15,15,15,15
35043,0,0,0,0,0
35044,0,0,0,0,0
35051,0,0,0,0,0
35055,108,108,108,108,108
35057,1,1,1,1,1
35058,0,0,0,0,0
35061,0,0,0,0,0
35064,11,11,11,11,11
35068,2,2,2,2,2
35071,0,0,0,0,0
35072,0,0,0,0,0
35073,0,0,0,0,0
35077,2,2,2,2,2
35080,0,0,0,0,0
35094,0,0,0,0,0
35096,1,1,1,1,1
35111,8,8,8,8,8
35114,4,4,4,4,4
35115,0,0,0,0,0
35116,0,0,0,0,0
35117,25,25,25,25,25
35118,0,0,0,0,0
35124,45,45,45,45,45
35126,8,8,8,8,8
35127,0,0,0,0,0
35147,6,6,6,6,6
35150,40,40,40,40,40
35151,0,0,0,0,0
35160,3,3,3,3,3
35173,0,0,0,0,0
35176,1,1,1,1,1
35179,2,2,2,2,2
35184,0,0,0,0,0
35188,0,0,0,0,0
35203,13,13,13,13,13
35204,82,82,82,82,82
35205,13,13,13,13,13
35206,13,13,13,13,13
35207,62,62,62,62,62
35208,24,24,24,24,24
35209,0,0,0,0,0
35210,0,0,0,0,0
35211,118,118,118,118,118
35212,106,106,106,106,106
35213,24,24,24,24,24
35214,0,0,0,0,0
35215,161,161,161,161,161
35216,7,7,7,7,7
35217,94,94,94,94,94
35218,63,63,63,63,63
35221,40,40,40,40,40
35222,0,0,0,0,0
35223,11,11,11,11,11
35224,27,27,27,27,27
35226,59,59,59,59,59
35228,49,49,49,49,49
35233,20,20,20,20,20
35234,18,18,18,18,18
35235,0,0,0,0,0
35242,47,47,47,47,47
35243,0,0,0,0,0
35244,18,18,18,18,18
35401,343,343,343,343,343
35404,142,142,142,142,142
35405,152,152,152,152,152
35406,50,50,50,50,50
35444,0,0,0,0,0
35452,0,0,0,0,0
35453,7,7,7,7,7
35456,4,4,4,4,4
35463,0,0,0,0,0
35473,0,0,0,0,0
35474,0,0,0,0,0
35475,0,0,0,0,0
35476,38,38,38,38,38
35490,1,1,1,1,1
35601,42,42,42,42,42
35603,0,0,0,0,0
35611,45,45,45,45,45
35613,0,0,0,0,0
35614,0,0,0,0,0
35616,0,0,0,0,0
35630,0,0,0,0,0
35633,0,0,0,0,0
35634,0,0,0,0,0
35645,0,0,0,0,0
35660,10,10,10,10,10
35661,55,55,55,55,55
35671,0,0,0,0,0
35673,0,0,0,0,0
35674,0,0,0,0,0
35741,0,0,0,0,0
35748,0,0,0,0,0
35749,0,0,0,0,0
35750,0,0,0,0,0
35754,0,0,0,0,0
35756,6,6,6,6,6
35757,36,36,36,36,36
35758,92,92,92,92,92
35759,9,9,9,9,9
35761,0,0,0,0,0
35763,0,0,0,0,0
35773,0,0,0,0,0
35775,1,1,1,1,1
35801,0,0,0,0,0
35802,0,0,0,0,0
35803,20,20,20,20,20
35805,0,0,0,0,0
35806,0,0,0,0,0
