zip,panels_1_years_5250_incentive,panels_2_years_5250_incentive,panels_3_years_5250_incentive,panels_4_years_5250_incentive,panels_5_years_5250_incentive
99501,0,0,0,0,26
99502,0,0,0,0,0
99503,0,0,0,10,23
99504,0,0,15,23,45
99506,0,4,7,9,10
99507,0,0,0,0,8
99508,0,0,0,14,32
99515,0,11,16,27,32
99516,0,0,0,0,0
99517,0,0,0,0,0
99518,0,0,0,0,9
99701,0,0,0,0,0
99703,0,0,0,0,2
99709,0,0,20,32,52
99712,0,0,0,0,0
35004,1,1,1,1,1
35005,30,30,30,30,30
35007,158,158,158,158,158
35014,1,1,1,1,1
35020,314,314,314,314,314
35022,169,169,169,169,169
35023,74,74,74,74,74
35040,35,35,35,35,35
35043,0,0,0,0,0
35044,0,0,0,0,0
35051,0,0,0,0,0
35055,167,167,167,167,167
35057,4,4,4,4,4
35058,2,2,2,2,2
35061,4,4,4,4,4
35064,64,64,64,64,64
35068,19,19,19,19,19
35071,74,74,74,74,74
35072,0,0,0,0,0
35073,1,1,1,1,1
35077,8,8,8,8,8
35080,25,25,25,25,25
35094,31,31,31,31,31
35096,2,2,2,2,2
35111,15,15,15,15,15
35114,26,26,26,26,26
35115,13,13,13,13,13
35116,2,2,2,2,2
35117,50,50,50,50,50
35118,1,1,1,1,1
35124,63,63,63,63,63
35126,25,25,25,25,25
35127,24,24,24,24,24
35147,10,10,10,10,10
35150,109,109,109,109,109
35151,5,5,5,5,5
35160,62,62,62,62,62
35173,51,51,51,51,51
35176,1,1,1,1,1
35179,2,2,2,2,2
35184,0,0,0,0,0
35188,0,0,0,0,0
35203,25,25,25,25,25
35204,178,178,178,178,178
35205,92,92,92,92,92
35206,166,166,166,166,166
35207,168,168,168,168,168
35208,126,126,126,126,126
35209,81,81,81,81,81
35210,92,92,92,92,92
35211,380,380,380,380,380
35212,247,247,247,247,247
35213,87,87,87,87,87
35214,104,104,104,104,104
35215,436,436,436,436,436
35216,94,94,94,94,94
35217,213,213,213,213,213
35218,120,120,120,120,120
35221,76,76,76,76,76
35222,26,26,26,26,26
35223,122,122,122,122,122
35224,60,60,60,60,60
35226,178,178,178,178,178
35228,122,122,122,122,122
35233,51,51,51,51,51
35234,93,93,93,93,93
35235,92,92,92,92,92
35242,315,315,315,315,315
35243,32,32,32,32,32
35244,36,36,36,36,36
35401,598,598,598,598,598
35404,269,269,269,269,269
35405,284,284,284,284,284
35406,117,117,117,117,117
35444,0,0,0,0,0
35452,0,0,0,0,0
35453,24,24,24,24,24
35456,11,11,11,11,11
35463,0,0,0,0,0
35473,80,80,80,80,80
35474,11,11,11,11,11
35475,9,9,9,9,9
35476,115,115,115,115,115
35490,1,1,1,1,1
35601,95,95,95,95,95
35603,27,27,27,27,27
35611,112,112,112,112,112
35613,0,0,0,0,0
35614,8,8,8,8,8
35616,1,1,1,1,1
35630,246,246,246,246,246
35633,8,8,8,8,8
35634,1,1,1,1,1
35645,1,1,1,1,1
35660,94,94,94,94,94
35661,93,93,93,93,93
35671,2,2,2,2,2
35673,6,6,6,6,6
35674,10,10,10,10,10
35741,0,0,0,0,0
35748,3,3,3,3,3
35749,46,46,46,46,46
35750,0,0,0,0,0
35754,1,1,1,1,1
35756,12,12,12,12,12
35757,59,59,59,59,59
35758,231,231,231,231,231
35759,12,12,12,12,12
35761,15,15,15,15,15
35763,0,0,0,0,0
35773,3,3,3,3,3
35775,1,1,1,1,1
35801,78,78,78,78,78
35802,28,28,28,28,28
35803,60,60,60,60,60
35805,169,169,169,169,169
35806,83,83,83,83,83
35808,10,10,10,10,10
35810,92,92,92,92,92
35811,87,87,87,87,87
35816,191,191,191,191,191
35824,32,32,32,32,32
35901,86,86,86,86,86
35903,42,42,42,42,42
35904,46,46,46,46,46
35905,1,1,1,1,1
35906,1,1,1,1,1
35950,42,42,42,42,42
35951,19,19,19,19,19
35954,40,40,40,40,40
35956,3,3,3,3,3
35957,51,51,51,51,51
35976,24,24,24,24,24
35980,1,1,1,1,1
36020,15,15,15,15,15
36022,22,22,22,22,22
36025,15,15,15,15,15
36043,3,3,3,3,3
36054,56,56,56,56,56
36064,1,1,1,1,1
36066,157,157,157,157,157
36067,149,149,149,149,149
36079,3,3,3,3,3
36081,83,83,83,83,83
36092,18,18,18,18,18
36093,35,35,35,35,35
36104,168,168,168,168,168
36105,65,65,65,65,65
36106,93,93,93,93,93
36107,66,66,66,66,66
36108,415,415,415,415,415
36109,283,283,283,283,283
36110,88,88,88,88,88
36111,104,104,104,104,104
36112,0,0,0,0,0
36113,0,0,0,0,0
36115,0,0,0,0,0
36116,321,321,321,321,321
36117,300,300,300,300,300
36201,125,125,125,125,125
36203,91,91,91,91,91
36205,9,9,9,9,9
36206,46,46,46,46,46
36207,98,98,98,98,98
36250,0,0,0,0,0
36260,0,0,0,0,0
36265,59,59,59,59,59
36268,3,3,3,3,3
36277,4,4,4,4,4
36301,279,279,279,279,279
36303,233,233,233,233,233
36305,57,57,57,57,57
36312,0,0,0,0,0
36321,0,0,0,0,0
36322,21,21,21,21,21
36330,130,130,130,130,130
36345,37,37,37,37,37
36350,7,7,7,7,7
36351,0,0,0,0,0
36360,123,123,123,123,123
36362,20,20,20,20,20
36376,0,0,0,0,0
36509,19,19,19,19,19
36511,0,0,0,0,0
36523,6,6,6,6,6
36526,28,28,28,28,28
36527,93,93,93,93,93
36530,1,1,1,1,1
36532,374,374,374,374,374
36535,213,213,213,213,213
36541,19,19,19,19,19
36542,18,18,18,18,18
36544,51,51,51,51,51
36551,48,48,48,48,48
36555,5,5,5,5,5
36561,52,52,52,52,52
36567,30,30,30,30,30
36571,82,82,82,82,82
36572,21,21,21,21,21
36575,112,112,112,112,112
36576,19,19,19,19,19
36580,31,31,31,31,31
36582,200,200,200,200,200
36587,8,8,8,8,8
36602,18,18,18,18,18
36603,163,163,163,163,163
36604,134,134,134,134,134
36605,268,268,268,268,268
36606,104,104,104,104,104
36607,131,131,131,131,131
36608,281,281,281,281,281
36609,228,228,228,228,228
36610,221,221,221,221,221
36611,102,102,102,102,102
36612,50,50,50,50,50
36613,89,89,89,89,89
36617,86,86,86,86,86
36618,119,119,119,119,119
36619,75,75,75,75,75
36693,157,157,157,157,157
36695,349,349,349,349,349
36752,0,0,0,0,0
36801,76,76,76,76,76
36804,40,40,40,40,40
36830,327,327,327,327,327
36832,125,125,125,125,125
36856,1,1,1,1,1
36867,341,341,341,341,341
36869,241,241,241,241,241
36870,142,142,142,142,142
36875,2,2,2,2,2
36877,53,53,53,53,53
36879,0,0,0,0,0
71601,199,384,521,6623,6774
71602,0,166,387,5986,6066
71603,0,503,906,12063,12378
71837,0,0,0,6,6
71854,239,585,1015,11459,11769
71901,0,145,387,5816,5961
71913,0,264,559,9811,10034
71956,0,0,0,8,8
71964,1,1,2,118,118
71968,0,0,1,42,43
72002,26,78,252,3581,3670
72007,5,59,92,1726,1753
72011,0,6,22,377,384
72012,3,73,139,3400,3442
72015,30,257,524,9660,9798
72019,0,168,341,5403,5509
72022,0,65,207,5341,5401
72023,0,155,536,11616,11831
72065,0,5,13,156,160
72068,0,0,0,15,15
72076,0,444,660,11615,11843
72081,0,4,14,333,339
72082,1,4,6,258,262
72086,0,35,95,1457,1490
72103,0,75,107,3075,3110
72113,0,138,464,6634,6773
72114,0,279,479,3778,3897
72116,36,176,362,5017,5110
72117,0,230,471,5395,5518
72118,0,169,333,6111,6174
72120,0,199,435,9147,9364
72135,0,10,26,257,265
72142,3,30,52,735,750
72143,0,125,322,5841,5900
72167,0,0,1,10,11
72176,0,38,119,2041,2080
72201,6,35,74,578,595
72202,20,144,302,2730,2817
72204,22,270,540,7221,7378
72205,0,174,400,5036,5167
72206,52,418,801,8322,8548
72207,20,97,308,2314,2426
72209,65,271,471,6286,6389
72210,18,79,161,3470,3524
72211,0,134,413,5107,5267
72212,4,166,443,3262,3425
72223,11,203,658,4984,5155
72227,19,150,317,2252,2332
72364,0,1,1,26,27
72376,0,0,0,2,2
72401,373,714,1363,15729,16005
72404,42,175,393,6793,6948
72411,0,0,1,36,36
72416,10,15,29,587,595
72417,0,0,0,63,63
72701,272,731,1480,8146,8350
72703,30,337,1162,7221,7408
72704,25,344,1031,6125,6271
72712,64,780,3056,10076,10503
72718,0,20,73,358,371
72719,16,128,473,2651,2697
72730,3,38,189,1434,1445
72745,12,42,282,2434,2464
72753,0,0,0,1,1
72756,13,126,331,6443,6556
72758,26,376,1435,8429,8657
72762,23,527,2015,11351,11609
72764,86,444,1553,12081,12205
72774,0,0,0,2,2
72801,0,199,404,5358,5469
72802,0,35,133,2438,2470
72834,11,31,54,1074,1086
72837,0,0,1,16,16
72847,1,7,11,187,189
72858,1,9,21,305,311
72901,71,193,400,7031,7095
72903,33,274,597,8090,8189
72904,64,282,544,6241,6299
72908,0,94,238,4847,4911
72916,10,143,307,2303,2359
72921,0,13,23,349,356
72923,5,30,63,1632,1646
72941,0,2,7,114,115
72956,181,331,683,10441,10569
85003,4,1305,2198,2225,2227
85004,18,942,1596,1627,1627
85006,78,4052,6969,7047,7047
85007,98,2771,4833,4877,4877
85008,53,5885,10513,10555,10555
85009,229,7267,13388,13482,13482
85012,16,1279,2201,2228,2228
85013,56,3177,5554,5627,5627
85014,53,3683,6620,6660,6660
85015,0,4591,8199,8240,8240
85016,91,5607,10058,10149,10149
85017,135,4454,7801,7912,7912
85018,119,6767,11747,11926,11926
85019,0,1603,6673,6727,6727
85020,31,5799,10355,10449,10449
85021,83,5060,9149,9242,9242
85022,30,8212,14922,15027,15027
85023,49,5514,9810,9889,9889
85024,39,4391,7640,7709,7709
85027,36,6590,11972,12057,12057
85028,8,4638,8034,8123,8123
85029,134,6860,12099,12184,12184
85031,48,1784,6880,6915,6915
85032,21,11744,20740,20823,20823
85033,0,2896,12250,12324,12324
85034,83,1810,3116,3166,3166
85035,19,2126,9593,9622,9622
85037,130,7149,12947,13012,13012
85040,38,2665,9356,9508,9508
85041,107,4649,17807,17897,17897
85042,38,3470,12466,12604,12604
85043,80,2383,9953,10034,10034
85044,63,3927,12474,12574,12574
85045,14,858,2271,2320,2320
85048,23,3654,11367,11599,11599
85050,21,6058,10524,10695,10695
85051,0,2615,11214,11270,11270
85053,90,5098,8938,9010,9010
85054,24,731,1313,1329,1329
85083,32,3611,6249,6363,6363
85085,4,2317,4134,4167,4167
85118,37,3461,6156,6175,6175
85119,40,2461,9996,10046,10046
85120,0,3353,14121,14206,14206
85132,43,1882,3290,3316,3316
85140,0,3155,10573,10658,10658
85142,82,6558,20104,20411,20411
85143,66,3610,13179,13272,13272
85201,0,2523,10332,10405,10405
85202,37,2221,9216,9272,9272
85203,72,2617,10160,10263,10263
85204,0,3959,16693,16794,16794
85205,0,4465,16796,16914,16914
85206,15,3767,14613,14716,14716
85207,76,5851,18810,19077,19077
85208,127,4056,15749,15812,15812
85209,113,4199,16068,16230,16230
85210,45,2232,8873,8963,8963
85212,0,2302,7384,7451,7451
85213,69,3427,11337,11486,11486
85215,50,4711,8275,8367,8367
85224,96,3666,13595,13732,13732
85225,61,5681,20126,20288,20288
85226,38,3746,12454,12657,12657
85233,90,3541,12688,12829,12829
85234,0,5289,16247,16478,16478
85248,112,9230,15804,16012,16012
85249,16,5985,15750,16120,16120
85250,95,4109,7189,7298,7298
85251,137,5822,10460,10534,10534
85253,0,5058,8169,8378,8378
85254,100,9483,16436,16653,16653
85255,121,10231,17057,17265,17265
85256,29,1009,1771,1794,1794
85257,76,5410,9451,9518,9518
85258,169,6120,10341,10563,10563
85259,0,4908,8447,8602,8602
85260,103,7109,12652,12794,12794
85262,63,3503,6117,6255,6255
85266,0,3928,6719,6870,6870
85268,93,3226,10237,10393,10393
85281,293,6112,10673,10847,10847
