zip,panels_1_years_8000_incentive,panels_2_years_8000_incentive,panels_3_years_8000_incentive,panels_4_years_8000_incentive,panels_5_years_8000_incentive
99501,0,23,43,102,148
99502,0,0,83,211,300
99503,10,23,31,55,81
99504,23,45,98,174,234
99506,9,10,12,16,16
99507,0,0,98,262,345
99508,14,32,82,150,182
99515,27,32,97,161,253
99516,0,0,7,95,200
99517,0,0,4,78,126
99518,0,6,21,42,71
99701,0,0,8,42,88
99703,0,1,2,2,3
99709,32,52,52,92,128
99712,0,0,1,3,9
35004,2,2,2,2,2
35005,44,44,44,44,44
35007,300,300,300,300,300
35014,2,2,2,2,2
35020,496,496,496,496,496
35022,351,351,351,351,351
35023,122,122,122,122,122
35040,77,77,77,77,77
35043,0,0,0,0,0
35044,0,0,0,0,0
35051,0,0,0,0,0
35055,279,279,279,279,279
35057,13,13,13,13,13
35058,16,16,16,16,16
35061,7,7,7,7,7
35064,143,143,143,143,143
35068,63,63,63,63,63
35071,272,272,272,272,272
35072,0,0,0,0,0
35073,2,2,2,2,2
35077,13,13,13,13,13
35080,241,241,241,241,241
35094,101,101,101,101,101
35096,6,6,6,6,6
35111,41,41,41,41,41
35114,108,108,108,108,108
35115,34,34,34,34,34
35116,6,6,6,6,6
35117,103,103,103,103,103
35118,19,19,19,19,19
35124,480,480,480,480,480
35126,67,67,67,67,67
35127,74,74,74,74,74
35147,25,25,25,25,25
35150,182,182,182,182,182
35151,11,11,11,11,11
35160,129,129,129,129,129
35173,495,495,495,495,495
35176,3,3,3,3,3
35179,9,9,9,9,9
35184,0,0,0,0,0
35188,0,0,0,0,0
35203,46,46,46,46,46
35204,286,286,286,286,286
35205,211,211,211,211,211
35206,298,298,298,298,298
35207,298,298,298,298,298
35208,209,209,209,209,209
35209,329,329,329,329,329
35210,194,194,194,194,194
35211,557,557,557,557,557
35212,404,404,404,404,404
35213,511,511,511,511,511
35214,320,320,320,320,320
35215,573,573,573,573,573
35216,450,450,450,450,450
35217,353,353,353,353,353
35218,163,163,163,163,163
35221,106,106,106,106,106
35222,191,191,191,191,191
35223,495,495,495,495,495
35224,102,102,102,102,102
35226,839,839,839,839,839
35228,192,192,192,192,192
35233,89,89,89,89,89
35234,183,183,183,183,183
35235,233,233,233,233,233
35242,1388,1388,1388,1388,1388
35243,474,474,474,474,474
35244,570,570,570,570,570
35401,906,906,906,906,906
35404,411,411,411,411,411
35405,466,466,466,466,466
35406,350,350,350,350,350
35444,0,0,0,0,0
35452,0,0,0,0,0
35453,68,68,68,68,68
35456,22,22,22,22,22
35463,1,1,1,1,1
35473,218,218,218,218,218
35474,28,28,28,28,28
35475,73,73,73,73,73
35476,185,185,185,185,185
35490,3,3,3,3,3
35601,336,336,336,336,336
35603,260,260,260,260,260
35611,307,307,307,307,307
35613,247,247,247,247,247
35614,33,33,33,33,33
35616,1,1,1,1,1
35630,534,534,534,534,534
35633,53,53,53,53,53
35634,10,10,10,10,10
35645,7,7,7,7,7
35660,182,182,182,182,182
35661,159,159,159,159,159
35671,13,13,13,13,13
35673,18,18,18,18,18
35674,93,93,93,93,93
35741,84,84,84,84,84
35748,19,19,19,19,19
35749,561,561,561,561,561
35750,2,2,2,2,2
35754,4,4,4,4,4
35756,274,274,274,274,274
35757,291,291,291,291,291
35758,909,909,909,909,909
35759,126,126,126,126,126
35761,70,70,70,70,70
35763,338,338,338,338,338
35773,13,13,13,13,13
35775,2,2,2,2,2
35801,689,689,689,689,689
35802,303,303,303,303,303
35803,320,320,320,320,320
35805,379,379,379,379,379
35806,326,326,326,326,326
35808,67,67,67,67,67
35810,276,276,276,276,276
35811,520,520,520,520,520
35816,275,275,275,275,275
35824,163,163,163,163,163
35901,172,172,172,172,172
35903,75,75,75,75,75
35904,86,86,86,86,86
35905,1,1,1,1,1
35906,2,2,2,2,2
35950,138,138,138,138,138
35951,46,46,46,46,46
35954,68,68,68,68,68
35956,7,7,7,7,7
35957,99,99,99,99,99
35976,71,71,71,71,71
35980,3,3,3,3,3
36020,24,24,24,24,24
36022,35,35,35,35,35
36025,26,26,26,26,26
36043,6,6,6,6,6
36054,163,163,163,163,163
36064,9,9,9,9,9
36066,295,295,295,295,295
36067,281,281,281,281,281
36079,19,19,19,19,19
36081,159,159,159,159,159
36092,64,64,64,64,64
36093,93,93,93,93,93
36104,262,262,262,262,262
36105,127,127,127,127,127
36106,227,227,227,227,227
36107,152,152,152,152,152
36108,640,640,640,640,640
36109,489,489,489,489,489
36110,167,167,167,167,167
36111,219,219,219,219,219
36112,0,0,0,0,0
36113,3,3,3,3,3
36115,1,1,1,1,1
36116,631,631,631,631,631
36117,631,631,631,631,631
36201,199,199,199,199,199
36203,133,133,133,133,133
36205,17,17,17,17,17
36206,72,72,72,72,72
36207,144,144,144,144,144
36250,0,0,0,0,0
36260,1,1,1,1,1
36265,103,103,103,103,103
36268,5,5,5,5,5
36277,6,6,6,6,6
36301,399,399,399,399,399
36303,510,510,510,510,510
36305,143,143,143,143,143
36312,0,0,0,0,0
36321,1,1,1,1,1
36322,35,35,35,35,35
36330,329,329,329,329,329
36345,69,69,69,69,69
36350,20,20,20,20,20
36351,1,1,1,1,1
36360,173,173,173,173,173
36362,31,31,31,31,31
36376,0,0,0,0,0
36509,28,28,28,28,28
36511,2,2,2,2,2
36523,12,12,12,12,12
36526,449,449,449,449,449
36527,271,271,271,271,271
36530,2,2,2,2,2
36532,817,817,817,817,817
36535,353,353,353,353,353
36541,44,44,44,44,44
36542,109,109,109,109,109
36544,83,83,83,83,83
36551,113,113,113,113,113
36555,15,15,15,15,15
36561,234,234,234,234,234
36567,111,111,111,111,111
36571,204,204,204,204,204
36572,61,61,61,61,61
36575,212,212,212,212,212
36576,46,46,46,46,46
36580,49,49,49,49,49
36582,315,315,315,315,315
36587,12,12,12,12,12
36602,46,46,46,46,46
36603,253,253,253,253,253
36604,214,214,214,214,214
36605,527,527,527,527,527
36606,231,231,231,231,231
36607,229,229,229,229,229
36608,661,661,661,661,661
36609,380,380,380,380,380
36610,309,309,309,309,309
36611,146,146,146,146,146
36612,99,99,99,99,99
36613,114,114,114,114,114
36617,162,162,162,162,162
36618,197,197,197,197,197
36619,219,219,219,219,219
36693,277,277,277,277,277
36695,740,740,740,740,740
36752,0,0,0,0,0
36801,227,227,227,227,227
36804,60,60,60,60,60
36830,611,611,611,611,611
36832,179,179,179,179,179
36856,7,7,7,7,7
36867,522,522,522,522,522
36869,390,390,390,390,390
36870,357,357,357,357,357
36875,4,4,4,4,4
36877,100,100,100,100,100
36879,1,1,1,1,1
71601,357,480,6081,6726,6815
71602,74,326,5445,6048,6109
71603,340,868,11095,12327,12504
71837,0,0,5,6,6
71854,513,955,10551,11733,11829
71901,91,333,4817,5955,6004
71913,142,467,8338,9994,10095
71956,0,0,6,8,8
71964,1,2,99,118,118
71968,0,1,36,43,43
72002,48,204,3118,3659,3707
72007,48,89,1533,1742,1771
72011,1,21,331,382,387
72012,52,132,3038,3435,3470
72015,218,504,8532,9778,9867
72019,101,307,4660,5470,5576
72022,38,185,4725,5390,5445
72023,48,476,10581,11807,11854
72065,4,11,139,159,161
72068,0,0,13,15,15
72076,288,624,9935,11819,11963
72081,2,11,307,338,340
72082,3,6,232,262,263
72086,12,79,1315,1485,1502
72103,47,97,2712,3107,3129
72113,42,374,5956,6766,6876
72114,211,419,3339,3873,3945
72116,124,347,4349,5084,5141
72117,179,398,4661,5512,5552
72118,125,270,5414,6161,6224
72120,95,397,7766,9308,9421
72135,4,21,227,263,271
72142,23,47,649,749,755
72143,107,257,5280,5888,5942
72167,0,1,9,11,11
72176,31,105,1839,2072,2087
72201,21,66,510,591,608
