zip,year,incentive,panels
10501,1,-2000,0
10502,1,-2000,0
10504,1,-2000,0
10505,1,-2000,0
10506,1,-2000,0
10507,1,-2000,0
10510,1,-2000,0
10511,1,-2000,0
10514,1,-2000,0
10516,1,-2000,0
10517,1,-2000,0
10520,1,-2000,0
10522,1,-2000,0
10523,1,-2000,0
10524,1,-2000,0
10526,1,-2000,0
10527,1,-2000,0
10528,1,-2000,0
10530,1,-2000,0
10532,1,-2000,0
10533,1,-2000,0
10536,1,-2000,0
10537,1,-2000,0
10538,1,-2000,0
10541,1,-2000,0
10543,1,-2000,0
10546,1,-2000,0
10547,1,-2000,0
10548,1,-2000,0
10549,1,-2000,0
10550,1,-2000,0
10552,1,-2000,0
10553,1,-2000,0
1056,1,-2000,0
10560,1,-2000,0
10562,1,-2000,0
10566,1,-2000,0
10567,1,-2000,0
10570,1,-2000,0
10573,1,-2000,0
10576,1,-2000,0
10577,1,-2000,0
10578,1,-2000,0
10579,1,-2000,0
10580,1,-2000,0
10583,1,-2000,0
10588,1,-2000,0
10589,1,-2000,0
10591,1,-2000,0
10594,1,-2000,0
10595,1,-2000,0
10596,1,-2000,0
10598,1,-2000,0
10601,1,-2000,0
10603,1,-2000,0
10604,1,-2000,0
10605,1,-2000,0
10606,1,-2000,0
10607,1,-2000,0
1068,1,-2000,0
10701,1,-2000,0
10703,1,-2000,0
10704,1,-2000,0
10705,1,-2000,0
10706,1,-2000,0
10707,1,-2000,0
10708,1,-2000,0
10709,1,-2000,0
10710,1,-2000,0
1073,1,-2000,0
1075,1,-2000,0
1077,1,-2000,0
10801,1,-2000,0
10803,1,-2000,0
10804,1,-2000,0
1085,1,-2000,0
1089,1,-2000,0
10901,1,-2000,0
10913,1,-2000,0
10920,1,-2000,0
10923,1,-2000,0
10927,1,-2000,0
10931,1,-2000,0
1095,1,-2000,0
10952,1,-2000,0
10954,1,-2000,0
10956,1,-2000,0
10960,1,-2000,0
10962,1,-2000,0
10964,1,-2000,0
10965,1,-2000,0
10968,1,-2000,0
10970,1,-2000,0
10974,1,-2000,0
10976,1,-2000,0
10977,1,-2000,0
10980,1,-2000,0
10983,1,-2000,0
10984,1,-2000,0
10986,1,-2000,0
10989,1,-2000,0
10993,1,-2000,0
10994,1,-2000,0
11001,1,-2000,0
11003,1,-2000,0
11004,1,-2000,0
11005,1,-2000,0
11010,1,-2000,0
11020,1,-2000,0
11021,1,-2000,0
11023,1,-2000,0
11024,1,-2000,0
1103,1,-2000,0
11030,1,-2000,0
1104,1,-2000,0
11040,1,-2000,0
1105,1,-2000,0
11050,1,-2000,0
1106,1,-2000,0
1107,1,-2000,0
1108,1,-2000,0
1109,1,-2000,0
11096,1,-2000,0
11101,1,-2000,0
11102,1,-2000,0
11103,1,-2000,0
11104,1,-2000,0
11105,1,-2000,0
11106,1,-2000,0
11109,1,-2000,0
1118,1,-2000,0
1119,1,-2000,0
11201,1,-2000,0
11203,1,-2000,0
11204,1,-2000,0
11205,1,-2000,0
11206,1,-2000,0
11207,1,-2000,0
11208,1,-2000,0
11209,1,-2000,0
11210,1,-2000,0
11211,1,-2000,0
11212,1,-2000,0
11213,1,-2000,0
11214,1,-2000,0
11215,1,-2000,0
11216,1,-2000,0
11217,1,-2000,0
11218,1,-2000,0
11219,1,-2000,0
11220,1,-2000,0
11221,1,-2000,0
11222,1,-2000,0
11223,1,-2000,0
11224,1,-2000,0
11225,1,-2000,0
11226,1,-2000,0
11228,1,-2000,0
11229,1,-2000,0
11230,1,-2000,0
11231,1,-2000,0
11232,1,-2000,0
11233,1,-2000,0
11234,1,-2000,0
11235,1,-2000,0
11236,1,-2000,0
11237,1,-2000,0
11238,1,-2000,0
11239,1,-2000,0
11249,1,-2000,0
1128,1,-2000,0
1129,1,-2000,0
11354,1,-2000,0
11355,1,-2000,0
11356,1,-2000,0
11357,1,-2000,0
11358,1,-2000,0
11360,1,-2000,0
11361,1,-2000,0
11362,1,-2000,0
11363,1,-2000,0
11364,1,-2000,0
11365,1,-2000,0
11366,1,-2000,0
11367,1,-2000,0
11368,1,-2000,0
11369,1,-2000,0
11370,1,-2000,0
11372,1,-2000,0
11373,1,-2000,0
11374,1,-2000,0
11375,1,-2000,0
11377,1,-2000,0
11378,1,-2000,0
11379,1,-2000,0
11385,1,-2000,0
11411,1,-2000,0
