zip,panels_1_years_5500_incentive,panels_2_years_5500_incentive,panels_3_years_5500_incentive,panels_4_years_5500_incentive,panels_5_years_5500_incentive
99501,0,0,0,0,36
99502,0,0,0,0,0
99503,0,0,0,10,23
99504,0,8,23,23,60
99506,1,6,7,9,12
99507,0,0,0,0,8
99508,0,0,0,18,46
99515,0,11,16,27,32
99516,0,0,0,0,0
99517,0,0,0,0,0
99518,0,0,0,0,9
99701,0,0,0,0,0
99703,0,0,0,0,2
99709,0,0,20,36,52
99712,0,0,0,0,0
35004,1,1,1,1,1
35005,32,32,32,32,32
35007,158,158,158,158,158
35014,1,1,1,1,1
35020,334,334,334,334,334
35022,175,175,175,175,175
35023,74,74,74,74,74
35040,35,35,35,35,35
35043,0,0,0,0,0
35044,0,0,0,0,0
35051,0,0,0,0,0
35055,176,176,176,176,176
35057,5,5,5,5,5
35058,3,3,3,3,3
35061,4,4,4,4,4
35064,64,64,64,64,64
35068,26,26,26,26,26
35071,99,99,99,99,99
35072,0,0,0,0,0
35073,1,1,1,1,1
35077,8,8,8,8,8
35080,59,59,59,59,59
35094,43,43,43,43,43
35096,2,2,2,2,2
35111,20,20,20,20,20
35114,32,32,32,32,32
35115,14,14,14,14,14
35116,3,3,3,3,3
35117,54,54,54,54,54
35118,2,2,2,2,2
35124,73,73,73,73,73
35126,25,25,25,25,25
35127,27,27,27,27,27
35147,10,10,10,10,10
35150,113,113,113,113,113
35151,5,5,5,5,5
35160,65,65,65,65,65
35173,96,96,96,96,96
35176,1,1,1,1,1
35179,2,2,2,2,2
35184,0,0,0,0,0
35188,0,0,0,0,0
35203,25,25,25,25,25
35204,189,189,189,189,189
35205,95,95,95,95,95
35206,172,172,172,172,172
35207,174,174,174,174,174
35208,131,131,131,131,131
35209,95,95,95,95,95
35210,108,108,108,108,108
35211,388,388,388,388,388
35212,267,267,267,267,267
35213,131,131,131,131,131
35214,111,111,111,111,111
35215,459,459,459,459,459
35216,94,94,94,94,94
35217,218,218,218,218,218
35218,125,125,125,125,125
35221,80,80,80,80,80
35222,39,39,39,39,39
35223,151,151,151,151,151
35224,63,63,63,63,63
35226,266,266,266,266,266
35228,122,122,122,122,122
35233,56,56,56,56,56
35234,98,98,98,98,98
35235,98,98,98,98,98
35242,457,457,457,457,457
35243,59,59,59,59,59
35244,36,36,36,36,36
35401,624,624,624,624,624
35404,285,285,285,285,285
35405,294,294,294,294,294
35406,133,133,133,133,133
35444,0,0,0,0,0
35452,0,0,0,0,0
35453,26,26,26,26,26
35456,12,12,12,12,12
35463,0,0,0,0,0
35473,93,93,93,93,93
35474,14,14,14,14,14
35475,11,11,11,11,11
35476,121,121,121,121,121
