zip,panels_1_years_3000_incentive,panels_2_years_3000_incentive,panels_3_years_3000_incentive,panels_4_years_3000_incentive,panels_5_years_3000_incentive
99501,0,0,0,0,0
99502,0,0,0,0,0
99503,0,0,0,0,0
99504,0,0,0,8,15
99506,0,0,0,4,7
99507,0,0,0,0,0
99508,0,0,0,0,0
99515,0,0,0,11,16
99516,0,0,0,0,0
99517,0,0,0,0,0
99518,0,0,0,0,0
99701,0,0,0,0,0
99703,0,0,0,0,0
99709,0,0,0,0,20
99712,0,0,0,0,0
35004,0,0,0,0,0
35005,15,15,15,15,15
35007,55,55,55,55,55
35014,0,0,0,0,0
35020,132,132,132,132,132
35022,27,27,27,27,27
35023,42,42,42,42,42
35040,18,18,18,18,18
35043,0,0,0,0,0
35044,0,0,0,0,0
35051,0,0,0,0,0
35055,127,127,127,127,127
35057,1,1,1,1,1
35058,0,0,0,0,0
35061,1,1,1,1,1
35064,25,25,25,25,25
35068,2,2,2,2,2
35071,0,0,0,0,0
35072,0,0,0,0,0
35073,0,0,0,0,0
35077,4,4,4,4,4
35080,0,0,0,0,0
35094,0,0,0,0,0
35096,1,1,1,1,1
35111,11,11,11,11,11
35114,6,6,6,6,6
35115,3,3,3,3,3
35116,0,0,0,0,0
35117,33,33,33,33,33
35118,0,0,0,0,0
35124,54,54,54,54,54
35126,14,14,14,14,14
35127,0,0,0,0,0
35147,7,7,7,7,7
35150,66,66,66,66,66
35151,0,0,0,0,0
35160,15,15,15,15,15
35173,0,0,0,0,0
35176,1,1,1,1,1
35179,2,2,2,2,2
35184,0,0,0,0,0
35188,0,0,0,0,0
35203,15,15,15,15,15
35204,111,111,111,111,111
35205,40,40,40,40,40
35206,66,66,66,66,66
35207,90,90,90,90,90
35208,49,49,49,49,49
35209,14,14,14,14,14
35210,16,16,16,16,16
35211,177,177,177,177,177
35212,149,149,149,149,149
35213,32,32,32,32,32
35214,31,31,31,31,31
35215,287,287,287,287,287
35216,34,34,34,34,34
35217,125,125,125,125,125
35218,75,75,75,75,75
35221,50,50,50,50,50
35222,5,5,5,5,5
35223,15,15,15,15,15
35224,31,31,31,31,31
35226,69,69,69,69,69
35228,79,79,79,79,79
35233,32,32,32,32,32
35234,33,33,33,33,33
35235,0,0,0,0,0
35242,63,63,63,63,63
35243,0,0,0,0,0
35244,27,27,27,27,27
35401,422,422,422,422,422
35404,169,169,169,169,169
35405,183,183,183,183,183
35406,63,63,63,63,63
35444,0,0,0,0,0
35452,0,0,0,0,0
35453,12,12,12,12,12
35456,7,7,7,7,7
35463,0,0,0,0,0
35473,0,0,0,0,0
35474,0,0,0,0,0
35475,2,2,2,2,2
35476,67,67,67,67,67
35490,1,1,1,1,1
35601,53,53,53,53,53
35603,0,0,0,0,0
35611,52,52,52,52,52
35613,0,0,0,0,0
35614,0,0,0,0,0
35616,0,0,0,0,0
35630,62,62,62,62,62
35633,0,0,0,0,0
35634,0,0,0,0,0
35645,0,0,0,0,0
35660,20,20,20,20,20
35661,66,66,66,66,66
35671,0,0,0,0,0
35673,0,0,0,0,0
35674,0,0,0,0,0
35741,0,0,0,0,0
35748,0,0,0,0,0
35749,9,9,9,9,9
35750,0,0,0,0,0
35754,0,0,0,0,0
35756,6,6,6,6,6
35757,53,53,53,53,53
35758,139,139,139,139,139
35759,9,9,9,9,9
35761,8,8,8,8,8
35763,0,0,0,0,0
35773,1,1,1,1,1
35775,1,1,1,1,1
35801,19,19,19,19,19
35802,0,0,0,0,0
35803,20,20,20,20,20
35805,27,27,27,27,27
35806,0,0,0,0,0
