zip,panels_1_years_4000_incentive,panels_2_years_4000_incentive,panels_3_years_4000_incentive,panels_4_years_4000_incentive,panels_5_years_4000_incentive
99501,0,0,0,0,0
99502,0,0,0,0,0
99503,0,0,0,0,8
99504,0,0,0,15,23
99506,0,0,4,7,9
99507,0,0,0,0,0
99508,0,0,0,0,9
99515,0,0,0,16,27
99516,0,0,0,0,0
99517,0,0,0,0,0
99518,0,0,0,0,0
99701,0,0,0,0,0
99703,0,0,0,0,0
99709,0,0,0,16,32
99712,0,0,0,0,0
35004,0,0,0,0,0
35005,25,25,25,25,25
35007,110,110,110,110,110
35014,1,1,1,1,1
35020,213,213,213,213,213
35022,61,61,61,61,61
35023,48,48,48,48,48
35040,20,20,20,20,20
35043,0,0,0,0,0
35044,0,0,0,0,0
35051,0,0,0,0,0
35055,142,142,142,142,142
35057,4,4,4,4,4
35058,0,0,0,0,0
35061,3,3,3,3,3
35064,36,36,36,36,36
35068,2,2,2,2,2
35071,0,0,0,0,0
35072,0,0,0,0,0
35073,0,0,0,0,0
35077,4,4,4,4,4
35080,0,0,0,0,0
35094,15,15,15,15,15
35096,2,2,2,2,2
35111,13,13,13,13,13
35114,8,8,8,8,8
35115,3,3,3,3,3
35116,0,0,0,0,0
35117,38,38,38,38,38
35118,0,0,0,0,0
35124,54,54,54,54,54
35126,14,14,14,14,14
35127,17,17,17,17,17
35147,8,8,8,8,8
35150,83,83,83,83,83
35151,0,0,0,0,0
35160,38,38,38,38,38
35173,13,13,13,13,13
35176,1,1,1,1,1
35179,2,2,2,2,2
35184,0,0,0,0,0
35188,0,0,0,0,0
35203,17,17,17,17,17
35204,145,145,145,145,145
35205,46,46,46,46,46
35206,99,99,99,99,99
35207,121,121,121,121,121
35208,92,92,92,92,92
35209,24,24,24,24,24
35210,49,49,49,49,49
35211,253,253,253,253,253
35212,192,192,192,192,192
35213,44,44,44,44,44
35214,55,55,55,55,55
35215,298,298,298,298,298
35216,60,60,60,60,60
35217,166,166,166,166,166
35218,103,103,103,103,103
35221,64,64,64,64,64
35222,16,16,16,16,16
35223,26,26,26,26,26
35224,44,44,44,44,44
35226,69,69,69,69,69
35228,98,98,98,98,98
35233,40,40,40,40,40
35234,62,62,62,62,62
35235,37,37,37,37,37
35242,158,158,158,158,158
35243,11,11,11,11,11
35244,27,27,27,27,27
35401,484,484,484,484,484
35404,211,211,211,211,211
35405,213,213,213,213,213
35406,71,71,71,71,71
35444,0,0,0,0,0
35452,0,0,0,0,0
35453,14,14,14,14,14
35456,9,9,9,9,9
35463,0,0,0,0,0
35473,44,44,44,44,44
35474,2,2,2,2,2
35475,7,7,7,7,7
35476,83,83,83,83,83
35490,1,1,1,1,1
35601,63,63,63,63,63
35603,0,0,0,0,0
35611,60,60,60,60,60
35613,0,0,0,0,0
35614,1,1,1,1,1
35616,0,0,0,0,0
35630,144,144,144,144,144
35633,3,3,3,3,3
35634,0,0,0,0,0
35645,0,0,0,0,0
35660,34,34,34,34,34
35661,77,77,77,77,77
35671,0,0,0,0,0
35673,5,5,5,5,5
35674,0,0,0,0,0
35741,0,0,0,0,0
35748,0,0,0,0,0
35749,18,18,18,18,18
35750,0,0,0,0,0
35754,1,1,1,1,1
35756,12,12,12,12,12
35757,53,53,53,53,53
35758,200,200,200,200,200
35759,9,9,9,9,9
35761,11,11,11,11,11
35763,0,0,0,0,0
35773,2,2,2,2,2
35775,1,1,1,1,1
35801,49,49,49,49,49
35802,0,0,0,0,0
35803,50,50,50,50,50
35805,115,115,115,115,115
35806,35,35,35,35,35
