,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,hispanic_population,zcta
3589,256,81,92355,32964,0,0,256,0,0,5,12978
3590,2534,1195,45375,29681,471,6,2396,33,4,31,12979
3591,1118,523,59438,32178,167,0,1022,0,2,2,12980
3592,2397,897,74830,31771,495,0,2360,0,14,14,12981
3593,7336,3458,61237,41092,976,203,6876,29,41,132,12983
3594,915,374,75588,33138,161,0,912,0,0,0,12985
3595,5356,2356,60333,34967,842,151,5052,3,11,68,12986
3596,152,73,109688,54745,6,0,150,0,0,0,12987
3597,970,459,84226,42258,142,0,900,9,0,0,12989
3598,3774,1621,82175,40224,427,0,3679,14,0,93,12992
3599,1634,740,63636,45137,167,10,1571,11,1,7,12993
3600,1983,818,64712,40637,171,21,1816,0,1,25,12996
3601,1217,558,69758,49151,49,2,1190,0,7,11,12997
3602,294,105,38125,15375,28,0,282,0,11,0,12998
3603,107,37,65938,25304,5,0,103,0,0,4,13020
3604,37640,16676,56649,37438,5453,1221,33487,394,68,1098,13021
3605,1380,0,-666666666,474,0,885,379,0,5,218,13024
3606,1737,565,91652,33961,67,23,1605,5,7,116,13026
3607,35432,14585,88706,45114,2435,551,32343,508,201,1316,13027
3608,809,309,87356,32991,14,0,746,0,0,33,13028
3609,7878,3006,91650,41451,1074,0,7352,10,43,103,13029
3610,4008,1537,75972,38406,307,38,3603,85,0,171,13030
3611,15741,6840,87663,45656,1029,107,14719,257,3,305,13031
3612,12902,4957,71417,33001,1001,269,11586,34,150,135,13032
3613,3661,1290,75300,34664,386,0,3487,22,6,20,13033
3614,2022,796,92500,51187,156,9,1867,16,1,55,13034
3615,8476,3034,102386,50419,385,183,7941,82,2,261,13035
3616,9020,3658,79681,42878,1003,11,8760,3,6,64,13036
3617,9669,3629,75777,40737,869,23,8990,24,33,415,13037
3618,17033,6727,104541,47330,935,171,15936,441,24,184,13039
3619,2620,1048,61458,30352,283,0,2542,0,8,10,13040
3620,11902,4473,109119,45782,229,382,10282,310,4,342,13041
3621,2012,852,97500,42831,133,0,1950,2,0,8,13042
3622,3026,1172,66379,38644,373,0,2686,0,1,265,13044
3623,28157,10988,63762,30238,3891,856,25203,392,30,1181,13045
3624,37,37,-666666666,-1,0,0,37,0,0,0,13051
3625,1763,638,74219,31014,191,0,1737,0,1,10,13052
3626,4717,1840,81429,38007,801,81,4137,183,0,216,13053
3627,1218,420,95500,34727,63,0,1215,0,3,6,13054
3628,14329,6420,72302,40449,1081,369,12904,341,41,259,13057
3629,2731,1156,56284,30783,568,0,2407,50,0,12,13060
3630,627,287,78583,47759,64,40,583,0,0,0,13061
3631,212,111,-666666666,87987,13,0,212,0,0,0,13062
3632,1696,880,75238,63935,63,0,1606,50,7,24,13063
3633,222,97,-666666666,33421,49,0,222,0,0,0,13065
3634,12752,5417,115625,65803,682,275,11400,406,3,385,13066
3635,4778,2059,78125,42567,433,0,4569,51,9,57,13068
3636,23378,9862,59318,31747,4439,119,22216,54,8,747,13069
3637,864,311,69125,33322,90,0,788,36,3,41,13071
3638,838,342,59583,29134,101,12,812,0,4,0,13072
3639,6514,2732,67074,33516,607,119,5871,34,10,139,13073
3640,4453,1752,73804,30511,775,5,4098,37,81,88,13074
3641,2416,938,76250,41155,427,0,2247,30,4,107,13076
3642,6646,2947,70016,39252,277,0,6306,210,1,50,13077
3643,10867,3784,115699,53723,451,528,8453,1064,27,146,13078
3644,3519,1419,74479,39793,352,0,3318,6,33,53,13080
3645,1114,483,98125,51609,63,3,1019,14,0,35,13081
3646,3750,1514,76754,36016,200,21,3601,8,0,10,13082
3647,1989,860,75167,36859,362,12,1885,34,0,29,13083
3648,3801,1596,84900,44999,131,126,3299,0,25,70,13084
3649,161,68,113750,57911,11,0,139,0,0,0,13087
3650,21914,10472,70180,40653,1824,733,18666,870,102,930,13088
3651,29344,11996,85313,40951,3112,1771,23624,838,30,2075,13090
3652,2726,1025,62014,30340,672,45,2387,46,6,39,13092
3653,2410,945,60197,26112,238,0,2263,0,0,41,13101
3654,52,29,-666666666,42929,0,0,52,0,0,0,13102
3655,226,123,50729,24754,39,0,181,1,0,0,13103
3656,16753,6436,118295,60701,871,315,14337,1465,15,312,13104
3657,6284,2712,87632,46081,341,51,6096,22,0,111,13108
3658,2389,907,92188,44987,94,0,2143,0,0,59,13110
3659,1790,595,49250,21577,475,0,1506,12,0,279,13111
3660,1728,598,77857,34549,158,0,1666,0,0,62,13112
3661,52,26,36875,30038,5,0,49,0,1,3,13113
3662,7397,3013,71161,35110,944,14,7074,19,2,52,13114
3663,225,91,67679,33289,53,2,205,0,0,5,13115
3664,3652,1445,82232,38245,155,0,3171,66,0,343,13116
3665,279,108,41389,19689,33,1,267,0,0,0,13117
3666,5811,2113,66202,31251,551,355,5133,9,4,156,13118
3667,0,0,-666666666,-666666666,0,0,0,0,0,0,13119
3668,2218,897,58287,32490,269,95,1548,39,472,8,13120
3669,0,0,-666666666,-666666666,0,0,0,0,0,0,13121
3670,982,468,59483,39004,29,9,899,0,0,40,13122
3671,32,32,-666666666,-1,0,0,32,0,0,0,13123
3672,102,46,102500,42633,2,0,99,0,0,0,13124
3673,36278,13759,60475,31917,6050,859,32810,654,24,1612,13126
3674,3115,1297,63398,34688,324,29,2864,34,1,62,13131
3675,3495,1636,71146,40147,513,28,3284,9,0,69,13132
3676,132,25,-666666666,58027,0,0,48,0,0,0,13134
3677,6296,2349,77817,35640,993,127,5702,77,13,186,13135
3678,329,135,39779,27528,81,0,329,0,0,0,13136
3679,139,52,-666666666,21160,4,4,135,0,0,0,13138
3680,4335,1690,58750,32904,580,21,4157,0,0,122,13140
3681,655,269,76875,37263,11,0,619,0,0,23,13141
3682,6044,2442,86554,41697,860,7,5708,0,2,51,13142
3683,2354,847,70368,32740,266,38,2120,16,0,38,13143
3684,1323,462,47857,25730,338,23,1253,0,0,0,13144
3685,1595,708,44554,26264,403,0,1560,0,3,13,13145
3686,2176,752,59545,24591,233,2,2028,10,0,84,13146
3687,929,359,71083,30779,120,44,845,0,0,66,13147
3688,10854,4908,56365,35992,1694,241,10018,155,34,204,13148
3689,7700,3270,100938,71112,436,15,7456,30,14,221,13152
3690,337,112,137586,34956,0,0,337,0,0,0,13153
3691,34,11,-666666666,47406,0,0,34,0,0,0,13154
3692,567,223,63229,31319,46,0,548,0,7,12,13155
3693,2169,982,59521,33732,140,10,2022,0,1,2,13156
3694,535,301,43029,32670,62,0,498,5,6,0,13157
3695,1352,525,81648,40091,85,135,1163,2,0,52,13158
3696,5243,2036,91458,47617,388,22,4919,16,3,112,13159
3697,2262,798,91058,36883,185,33,2119,5,0,79,13160
3698,409,206,82717,37082,42,0,409,0,0,0,13162
3699,332,104,73750,26638,21,30,285,0,0,17,13163
3700,2720,914,83571,36375,179,26,2508,0,38,58,13164
3701,9511,4108,64668,34097,1033,155,8596,45,29,499,13165
3702,5758,2420,74014,37590,798,20,5513,0,7,56,13166
3703,2982,1222,71176,34707,586,0,2885,21,0,0,13167
3704,7331,3292,26271,25562,3481,3302,2626,383,74,1235,13202
3705,16884,7813,42451,31751,4430,4042,9518,1298,221,1635,13203
3706,19550,8512,40330,25369,7290,5811,9945,183,234,3369,13204
3707,18069,7223,37510,23906,4851,8284,6617,699,198,1212,13205
3708,16713,7850,55806,33393,2748,2626,11866,499,187,1003,13206
3709,12784,5391,56730,30312,3236,4871,6139,177,109,1860,13207
3710,23094,9046,41751,23582,7174,6264,11511,3111,11,1122,13208
3711,13171,5933,62134,35254,1341,603,11624,127,35,511,13209
3712,19144,7723,38472,24378,5316,3975,11497,1819,82,1569,13210
3713,5968,2389,69419,30953,578,131,4708,403,14,384,13211
3714,20638,8924,70748,37411,2490,348,19156,199,7,469,13212
3715,8899,3097,87095,41384,647,1498,5933,419,31,657,13214
3716,14317,5549,101754,51724,386,869,12423,166,15,476,13215
3717,15557,6309,82083,41522,896,490,14042,170,39,699,13219
3718,8881,3632,78030,42611,1163,2874,4351,513,32,892,13224
3719,8384,5,-666666666,5088,5,662,5336,1840,59,683,13244
3720,0,0,-666666666,-666666666,0,0,0,0,0,0,13290
3721,156,64,111250,42646,11,0,156,0,0,0,13301
3722,1377,591,52056,26877,276,0,1337,0,4,17,13302
3723,1295,534,82500,37779,215,3,1267,0,6,23,13303
3724,1919,753,94464,47408,190,11,1888,16,0,11,13304
3725,201,91,73304,34711,0,0,188,0,0,0,13305
3726,4429,1684,82174,33473,467,0,4116,58,0,181,13308
3727,5805,2622,69387,38833,573,64,5563,18,1,0,13309
3728,837,280,98646,35757,6,0,837,0,0,0,13310
3729,308,159,68984,37319,38,0,308,0,0,0,13312
3730,597,235,34476,26032,129,3,576,0,0,48,13313
3731,153,32,39167,12035,105,0,153,0,0,0,13314
3732,1404,529,71250,35908,165,4,1359,24,0,10,13315
3733,5912,2691,53843,30808,820,31,5717,6,7,67,13316
3734,4002,1266,64056,26160,393,31,3756,26,33,92,13317
3735,1056,383,83438,34917,92,70,970,0,0,0,13318
3736,550,311,53466,30377,0,0,550,0,0,0,13319
3737,2085,708,76136,34165,324,0,2037,0,0,30,13320
3738,803,458,55234,38147,31,0,789,14,0,0,13321
3739,1073,392,86731,37978,43,0,1044,0,0,31,13322
3740,11151,4376,80438,39619,852,77,10379,223,76,476,13323
3741,1653,734,74250,44969,158,10,1552,0,46,6,13324
3742,929,403,69609,36321,60,0,907,0,0,2,13325
3743,4698,1877,77198,47743,295,101,4163,152,0,203,13326
3744,2230,810,73333,30244,264,0,2228,0,0,27,13327
3745,1451,616,105882,47574,45,11,1246,24,0,86,13328
3746,3555,1468,55388,27488,484,3,3391,15,0,205,13329
3747,69,42,62222,42093,0,0,69,0,0,0,13331
3748,2878,880,70202,27531,395,66,2667,15,0,9,13332
3749,57,34,55909,35816,7,0,52,0,0,2,13333
3750,943,433,54107,30102,146,27,895,0,0,10,13334
3751,1355,482,51977,24486,266,15,1229,12,0,57,13335
3752,653,321,105950,82213,18,31,592,15,0,13,13337
3753,1242,592,51000,34323,140,6,1212,0,11,0,13338
3754,6084,2082,56269,26738,842,108,5733,0,25,200,13339
3755,7479,3159,66775,37685,719,157,6936,30,0,78,13340
3756,275,81,63750,22641,12,0,224,0,0,61,13342
3757,1625,678,68056,32236,167,0,1587,2,1,7,13343
3758,175,79,52750,32817,14,28,147,0,0,0,13345
3759,6244,1770,57114,28301,542,209,5501,237,0,315,13346
3760,1669,608,76203,36257,147,12,1610,0,0,14,13348
3761,9695,4163,61489,34376,1080,183,8821,99,0,68,13350
3762,29,2,-666666666,-1,0,0,24,0,0,0,13352
3763,41,21,58125,38944,0,0,39,0,1,0,13353
3764,3285,1245,84781,37171,114,10,3233,4,0,24,13354
3765,1139,369,66645,163972,61,0,1102,0,0,20,13355
3766,10301,4482,70342,33669,1172,158,9677,34,0,286,13357
3767,128,41,-666666666,52239,2,0,128,0,0,0,13360
3768,661,248,61667,31605,90,4,625,0,0,28,13361
3769,2409,902,87838,43706,169,19,2296,0,0,67,13363
3770,232,98,75833,43064,0,0,185,0,0,0,13364
3771,8449,3193,59353,31980,1449,34,7937,3,0,423,13365
3772,8682,3511,63361,32265,1146,212,8097,16,13,266,13367
3773,1121,447,56688,25924,153,4,1103,0,0,0,13368
3774,1087,541,58990,36031,243,2,1041,10,0,9,13402
3775,7087,1921,98954,32768,221,758,5996,76,22,469,13403
3776,127,52,-666666666,21154,0,0,121,0,0,0,13404
3777,492,177,93875,30524,53,0,488,0,0,3,13406
3778,5140,1924,70185,31956,613,43,4661,93,0,119,13407
3779,3383,792,62308,21822,112,136,2914,164,5,182,13408
3780,1976,818,67313,32976,170,14,1892,0,9,82,13409
3781,536,285,-666666666,27259,116,0,452,3,0,32,13410
3782,2743,1137,60163,31627,442,3,2614,5,1,93,13411
3783,16282,6831,93729,54571,673,82,14775,758,42,481,13413
3784,82,39,62813,40584,23,0,82,0,0,0,13415
3785,2235,862,79375,33136,237,8,2183,0,0,31,13416
3786,3103,1655,55167,37429,353,2,3062,27,0,53,13417
3787,212,72,101250,33216,5,0,212,0,0,0,13418
3788,1092,529,104659,53384,55,24,1059,0,0,0,13420
3789,12857,5539,60459,37343,1399,120,11946,75,27,310,13421
3790,2274,920,78438,37643,166,114,1960,126,0,119,13424
3791,1762,756,62171,42041,213,6,1685,14,0,32,13425
3792,1533,658,63839,36132,159,10,1489,1,0,7,13428
3793,1939,699,87250,37882,120,7,1903,3,7,18,13431
3794,1647,626,47969,22653,344,2,1611,2,0,1,13433
3795,275,75,60795,20977,0,61,201,0,0,0,13435
3796,107,49,68250,33117,30,11,96,0,0,7,13436
3797,307,125,54125,26149,24,0,294,0,0,0,13437
3798,2994,1283,70096,37149,354,45,2866,14,6,69,13438
3799,3715,1364,56364,31559,536,37,3612,10,0,106,13439
3800,41198,17390,62141,34445,5610,1598,36259,572,38,2533,13440
3801,222,146,88654,46170,0,43,154,0,0,25,13441
3802,252,69,58542,20879,2,0,252,0,0,0,13450
3803,4874,1858,59167,29271,855,40,4546,2,1,192,13452
3804,732,318,84167,29946,93,0,669,0,0,13,13454
3805,46,11,-666666666,10846,0,0,46,0,0,0,13455
3806,3977,1459,87977,39443,235,14,3811,58,0,70,13456
3807,32,23,-666666666,25072,13,0,32,0,0,0,13457
3808,2048,792,63421,28546,347,10,1933,17,10,72,13459
3809,4293,1632,62106,32478,292,16,4010,39,0,10,13460
3810,3158,1323,88083,43548,192,26,2932,76,6,82,13461
3811,1245,522,53788,26269,175,2,1209,0,0,8,13464
3812,291,104,52500,25581,50,0,289,0,0,2,13468
3813,1317,476,123045,45350,47,0,1264,53,0,0,13469
3814,710,241,60972,27796,243,12,666,1,0,21,13470
3815,2656,1072,63707,31002,213,8,2567,11,0,18,13471
3816,340,111,100208,29754,0,0,340,0,0,0,13472
3817,1128,418,96563,34605,66,5,1038,0,0,0,13473
3818,39,23,77083,57067,0,0,32,0,0,0,13475
3819,2975,1210,68093,31083,188,59,2861,16,0,46,13476
3820,1485,556,62870,42581,140,0,1471,0,0,103,13477
3821,3040,1299,71849,35942,289,0,2994,18,3,89,13478
3822,3426,1327,70703,33794,232,6,3215,19,0,33,13480
3823,63,25,56250,25010,0,0,63,0,0,0,13482
3824,454,138,108009,25748,85,6,443,0,0,26,13483
3825,29,29,-666666666,-1,29,0,29,0,0,0,13484
3826,1635,521,67305,28114,287,9,1612,3,0,15,13485
3827,738,333,69125,44001,111,0,673,0,0,38,13486
3828,141,74,58500,36016,0,0,141,0,0,0,13488
3829,533,200,68750,31525,39,0,524,0,0,5,13489
3830,1181,427,92083,41441,14,0,1150,31,0,31,13490
3831,3853,1336,72000,33125,494,0,3654,14,0,178,13491
3832,11395,4779,86537,45682,586,308,10350,142,7,527,13492
3833,2205,776,60227,23085,347,13,2099,7,4,44,13493
3834,222,97,52292,32619,20,0,222,0,0,0,13494
3835,2081,943,58653,33223,86,14,1901,0,0,12,13495
3836,40152,14933,50626,25485,10582,6058,22155,5712,154,5814,13501
3837,33962,13471,53548,29393,7621,4474,24414,1758,60,3308,13502
3838,38332,16574,57936,34201,5883,2605,31654,854,24,2544,13601
3839,2798,0,-666666666,28067,0,504,1603,158,54,562,13602
3840,14050,4626,56853,21278,1184,1589,10075,301,112,3126,13603
3841,5261,1987,71250,30713,453,79,4893,11,10,177,13605
3842,2423,933,90625,35980,395,11,2354,0,2,0,13606
3843,1750,900,60667,70916,118,27,1683,5,13,13,13607
3844,1818,688,71932,30222,302,18,1649,0,24,69,13608
3845,312,137,82708,33554,30,0,312,0,0,18,13611
3846,2703,1199,70223,33072,375,0,2485,140,0,33,13612
3847,2604,1088,45893,29194,385,15,2497,0,22,18,13613
3848,345,106,67500,24155,82,0,330,0,0,0,13614
3849,586,274,97794,45680,18,4,573,0,0,11,13615
3850,1936,990,45921,30508,358,280,1361,98,0,222,13616
3851,12124,4181,66804,29648,1001,533,10702,259,18,473,13617
3852,1814,785,57439,36218,172,15,1669,0,0,74,13618
3853,10625,4165,61844,31488,1539,317,9295,73,3,570,13619
3854,2066,802,56462,25090,329,14,2016,12,0,5,13620
3855,578,220,52083,63599,260,0,578,0,0,0,13621
3856,1985,729,71875,32460,305,116,1752,9,6,75,13622
3857,51,30,42656,19700,4,0,51,0,0,0,13623
3858,4933,1922,79313,40833,437,296,4233,34,25,250,13624
3859,1551,612,70109,33653,252,5,1512,4,0,6,13625
3860,2282,931,77371,35288,340,4,2148,8,3,113,13626
3861,268,96,45357,18978,42,0,245,0,0,23,13628
3862,1443,435,52063,24379,166,5,1404,0,10,12,13630
3863,107,51,-666666666,47478,13,0,107,0,0,0,13632
3864,318,117,64583,24547,31,0,302,0,0,0,13633
3865,3947,1498,85000,35189,406,34,3862,0,0,110,13634
3866,1244,426,72833,25614,198,1,1210,0,9,8,13635
3867,177,50,59167,21817,38,1,165,3,0,0,13636
3868,4493,1854,61261,29168,360,747,2971,17,4,950,13637
3869,372,124,-666666666,25068,11,0,372,0,0,0,13638
3870,24,21,21635,19558,5,0,24,0,0,0,13639
3871,302,156,76250,42651,18,0,297,0,0,10,13640
3872,54,28,74038,42870,0,0,54,0,0,0,13641
3873,9237,3699,49906,27417,1410,380,8081,10,57,509,13642
3874,60,24,-666666666,-1,60,0,60,0,0,0,13643
3875,0,0,-666666666,-666666666,0,0,0,0,0,0,13645
3876,2257,834,57250,30048,551,6,2154,11,5,28,13646
3877,150,67,-666666666,23219,32,0,143,0,0,7,13647
3878,2007,853,55966,31235,202,1,1957,0,6,102,13648
3879,37,16,-666666666,46914,0,0,37,0,0,0,13649
3880,1355,580,83594,43190,229,14,1217,10,0,31,13650
3881,126,76,95000,78088,5,0,126,0,0,0,13651
3882,1796,628,59643,24711,399,0,1694,4,0,1,13652
3883,2380,833,61484,26858,533,6,2346,0,0,7,13654
3884,3669,1271,58344,22864,813,6,349,206,2931,1,13655
3885,3230,1040,52885,21887,523,115,3044,0,13,25,13656
3886,2326,992,67955,37028,253,0,2243,0,6,72,13658
3887,379,155,57019,30016,45,0,365,0,7,13,13659
3888,1849,617,69250,29784,374,5,1792,8,1,22,13660
3889,1825,661,77712,33746,102,0,1708,25,0,57,13661
3890,16117,7024,54359,33713,2859,46,15370,113,87,171,13662
3891,404,141,75156,33004,78,21,340,1,0,44,13664
3892,812,308,74423,28865,128,19,793,0,0,0,13665
3893,216,80,34167,21977,64,8,147,0,0,2,13666
3894,3171,1297,53209,26062,692,46,2977,7,62,92,13667
3895,3200,1289,76888,35068,486,33,3081,2,20,22,13668
3896,16044,5810,62099,27477,2456,709,14644,91,67,268,13669
3897,383,159,31971,19613,95,0,374,1,1,0,13670
3898,376,166,62500,26945,70,0,354,0,5,7,13672
3899,2163,796,65500,29788,298,92,1907,16,7,54,13673
3900,137,57,-666666666,29604,15,0,137,0,0,0,13674
3901,61,21,-666666666,59203,0,0,52,0,0,0,13675
3902,14179,5507,54113,30693,1906,378,12839,341,39,402,13676
3903,105,105,26197,29141,11,0,105,0,0,0,13678
3904,1108,413,93250,42027,78,0,1060,16,2,19,13679
3905,1398,423,75231,23115,381,0,1383,5,0,10,13680
3906,971,384,46890,20513,231,1,928,0,0,18,13681
3907,845,317,83125,34920,35,0,810,4,0,0,13682
3908,66,27,-666666666,-1,66,0,0,0,66,0,13683
3909,1172,460,58077,26080,349,17,1129,3,4,2,13684
3910,2187,1080,83125,46830,240,5,2009,10,2,114,13685
3911,505,233,44375,30419,76,0,501,0,4,0,13687
3912,773,311,47614,28738,154,25,657,5,0,40,13690
3913,3123,1135,75972,32337,396,0,2740,54,14,97,13691
3914,216,85,153750,108492,5,0,216,0,0,0,13692
3915,294,139,49844,29830,27,0,288,6,0,0,13693
3916,1253,530,74091,40376,116,0,1185,0,3,82,13694
3917,200,59,120417,33578,0,0,200,0,0,11,13695
3918,174,82,52865,20556,0,0,174,0,0,0,13696
3919,1879,831,70732,49381,179,0,1800,20,0,23,13697
3920,2021,0,-666666666,5908,0,179,1481,223,0,173,13699
3921,2871,1298,66096,32930,379,2,2759,36,1,39,13730
3922,1002,518,74808,49637,77,0,926,16,0,34,13731
3923,7607,3028,85877,43261,563,53,7121,118,0,171,13732
3924,5049,2273,56841,31593,566,40,4828,29,0,60,13733
3925,2372,971,70795,28563,133,0,2330,0,6,18,13734
3926,1807,736,65333,32387,252,0,1760,0,0,17,13736
3927,44,16,-666666666,19198,0,0,44,0,0,0,13738
3928,801,345,60893,35310,65,0,773,20,0,0,13739
3929,560,254,68333,48066,65,18,483,10,2,69,13740
3930,3394,1501,54693,35395,432,0,3297,11,0,7,13743
3931,1359,427,61250,22652,413,2,1337,0,0,13,13744
3932,2142,962,57426,37948,249,13,1971,13,1,25,13746
3933,29,29,-666666666,-1,29,0,29,0,0,0,13747
3934,3760,1678,72531,37449,174,0,3318,0,0,398,13748
3935,711,351,58352,37274,52,4,694,0,0,0,13750
3936,209,54,148241,37194,0,0,209,0,0,0,13751
3937,868,324,64773,35759,170,0,844,0,0,24,13752
3938,5593,1821,66201,30306,520,95,5043,160,0,223,13753
3939,2656,1151,51958,32984,532,15,2548,30,1,45,13754
3940,888,398,59643,31150,139,0,862,0,10,10,13755
3941,694,314,61818,32447,72,7,680,6,0,18,13756
3942,1274,545,69803,35956,74,0,1269,0,0,0,13757
3943,43240,19223,60690,36764,6360,1728,37951,843,113,1753,13760
3944,148,69,65625,25201,0,0,127,0,0,0,13774
3945,1806,751,76420,39639,227,6,1688,3,0,131,13775
3946,404,182,87500,54979,17,0,379,5,0,4,13776
3947,396,156,74500,33935,0,0,396,0,0,0,13777
3948,5349,2319,66544,34791,560,23,5070,23,1,133,13778
3949,862,324,70179,35607,149,0,858,0,0,4,13780
3950,730,295,53315,35739,76,1,717,7,1,17,13782
3951,2331,1049,51023,31856,301,99,2118,3,0,85,13783
3952,294,127,71224,25218,68,0,294,0,0,10,13784
3953,366,202,49833,34882,29,7,317,8,0,0,13786
3954,3067,1356,70655,33033,182,4,2905,8,0,62,13787
3955,959,404,90909,45531,129,31,855,12,0,5,13788
3956,18584,8013,54014,32310,3509,1050,14359,1521,28,818,13790
3957,2954,1501,53285,33921,534,94,2398,143,0,300,13795
3958,996,465,53466,41340,75,24,907,0,1,39,13796
3959,2061,786,61722,31313,447,4,1982,0,0,0,13797
3960,1496,664,63828,37521,229,5,1433,18,0,55,13801
3961,1079,540,-666666666,25978,510,0,1070,0,0,0,13802
3962,4278,1509,59154,26095,639,5,4134,7,3,50,13803
3963,190,70,55313,20295,46,0,189,0,0,0,13804
3964,222,92,91250,35077,27,0,150,25,0,0,13806
3965,1296,490,71500,37523,142,11,1242,12,0,31,13807
3966,1379,542,56810,36243,159,3,1332,0,8,56,13808
3967,1964,728,50909,24950,226,0,1870,0,0,9,13809
3968,1260,500,86786,39141,227,8,1163,1,0,96,13810
3969,4120,1647,80030,35469,309,20,3828,66,55,67,13811
3970,2293,920,71029,34785,125,0,2247,0,0,7,13812
3971,1131,302,95833,25840,6,11,1120,0,0,18,13813
3972,18,6,-666666666,18222,0,0,11,0,0,0,13814
3973,12925,5622,61750,35011,1632,223,11692,78,10,590,13815
3974,22500,7867,65483,31069,2874,1026,19428,494,54,1457,13820
3975,3058,1244,66250,33804,239,15,2743,120,0,27,13825
3976,91,44,-666666666,46976,0,0,78,0,0,0,13826
3977,11770,5014,68566,37730,1533,139,11153,119,4,299,13827
3978,4933,1988,60469,29041,773,34,4773,4,0,77,13830
3979,449,180,56250,28934,80,0,446,0,0,3,13832
3980,4297,1486,51198,25507,1206,0,4066,56,8,52,13833
3981,118,87,52277,39495,0,0,118,0,0,0,13834
3982,1301,538,63250,32013,132,0,1268,9,0,0,13835
3983,3984,1590,56563,26016,876,98,3710,0,0,42,13838
3984,1319,497,56295,24859,227,0,1219,0,0,79,13839
3985,483,207,51250,35084,57,10,439,16,0,2,13841
3986,610,200,75357,33937,66,40,500,8,25,10,13842
3987,2094,791,71975,32159,234,6,2008,3,0,24,13843
3988,638,235,62679,25739,115,0,630,0,0,0,13844
3989,369,190,30086,24407,58,3,366,0,0,0,13846
3990,17,11,-666666666,25894,0,0,17,0,0,0,13847
3991,4424,1874,55795,32781,612,27,4210,65,2,51,13849
3992,23544,9477,74621,47145,3374,658,18648,3239,31,576,13850
3993,6063,2785,46840,29292,1319,93,5721,13,0,146,13856
3994,101,34,65682,25247,0,0,78,0,0,0,13859
3995,228,74,134583,42559,0,0,228,0,0,0,13860
3996,454,269,54695,45685,2,0,407,0,40,0,13861
3997,3702,1500,57545,30345,701,47,3561,0,0,47,13862
3998,473,208,64167,31593,72,2,448,16,0,7,13863
3999,1148,623,54934,34566,248,41,839,0,0,248,13864
4000,6000,2647,66906,32314,497,85,5702,9,0,50,13865
4001,19979,8493,50479,33734,4466,1433,16273,296,46,1485,13901
4002,6405,0,-666666666,2714,0,83,5364,848,0,325,13902
4003,18483,8112,58100,35085,3350,1897,14671,137,10,1048,13903
4004,9499,3717,53352,26557,1814,1188,7334,275,0,431,13904
4005,27673,11464,51411,32113,7954,2671,20294,2374,75,2088,13905
4006,9199,3950,77816,41463,546,59,8844,49,43,56,14001
4007,11658,4201,81631,34233,573,691,10654,98,16,138,14004
4008,2085,717,93875,39439,103,2,1918,0,1,109,14005
4009,9402,3999,61341,32764,1414,193,8918,112,12,86,14006
4010,1594,621,65368,34261,99,64,1294,7,0,92,14008
4011,5477,2514,61290,52581,436,2,5207,114,0,45,14009
4012,7711,2277,71116,26925,441,1086,5925,72,35,551,14011
4013,3020,1094,75870,32181,430,224,2539,34,84,63,14012
4014,1744,658,67500,28017,212,20,1246,19,241,26,14013
4015,22442,10295,57294,34262,2832,790,19896,242,8,892,14020
4016,1637,616,77619,34606,238,63,1519,17,0,3,14024
4017,3754,1596,105303,48919,265,9,3476,78,0,46,14025
4018,506,280,84318,51402,0,0,506,0,0,21,14026
4019,34,30,-666666666,57062,0,0,30,0,0,0,14027
4020,1556,732,68725,39150,29,4,1550,0,0,11,14028
4021,31,19,-666666666,40974,13,0,31,0,0,0,14029
4022,2045,740,82500,33788,249,12,1936,28,32,0,14030
4023,9685,4139,91927,61452,765,51,8836,12,0,227,14031
4024,10572,3758,146667,70344,346,43,9989,156,12,110,14032
4025,1460,685,71758,41677,82,0,1455,0,0,0,14033
4026,2513,876,75389,33221,119,317,2031,41,26,93,14034
4027,61,19,91458,31700,1,0,61,0,0,0,14035
4028,5406,2279,80493,39062,453,78,5248,0,0,89,14036
4029,963,379,85938,45886,73,0,844,0,0,31,14037
4030,70,40,36667,29404,10,0,62,0,0,0,14039
4031,1799,636,79219,35674,27,0,1799,0,0,0,14040
4032,132,64,-666666666,36941,35,0,113,3,0,3,14041
4033,4403,1852,53690,28671,836,19,4135,0,0,174,14042
4034,24936,11158,69673,38391,1758,695,22856,357,36,770,14043
4035,6147,2506,72734,37729,771,35,5908,0,0,270,14047
4036,14859,6676,49708,29584,3310,1185,10622,17,84,3663,14048
4037,19747,7995,116964,59097,1128,416,16573,1816,20,666,14051
4038,17694,7210,99178,51497,369,57,17061,83,0,425,14052
4039,1356,514,73929,33796,128,23,1224,0,1,59,14054
4040,1455,754,45000,40944,89,0,1450,0,0,5,14055
4041,194,93,-666666666,17600,0,0,194,0,0,0,14056
4042,7688,3036,86176,38689,746,25,7380,77,6,201,14057
4043,2408,803,77202,30916,157,3,2078,0,1,304,14058
4044,9629,3743,87686,55121,339,5,9426,50,21,55,14059
4045,356,189,64583,37294,30,0,320,0,1,0,14060
4046,93,35,-666666666,40424,17,0,81,0,6,0,14061
4047,3251,1246,66000,29647,379,0,3101,28,2,50,14062
4048,13123,5138,60741,32626,2213,563,11235,247,45,1095,14063
4049,1747,645,65486,28402,354,0,1686,7,1,13,14065
4050,1093,460,71607,32698,75,0,1063,10,0,3,14066
