zip,state_code,target_prop,group_id,group_incentive,pred_panels
99501,AK,0.0,0,500,85.26546906187625
99502,AK,0.0,0,500,183.579
99503,AK,0.0,0,500,62.65465465465466
99504,AK,0.0,0,500,60.32734530938123
99506,AK,0.0,0,500,7.442557442557442
99507,AK,0.0,0,500,180.18018018018017
99508,AK,0.0,0,500,136.63336663336665
99515,AK,0.0,0,500,85.94605394605395
99516,AK,5e-07,0,500,95.16633266533066
99517,AK,0.0,0,500,66.54054054054053
99518,AK,0.0,0,500,32.626
99701,AK,0.0,0,500,50.496
99703,AK,0.0,0,500,1.605
99709,AK,0.0,0,500,36.026999999999994
99712,AK,0.0,0,500,0.0
35004,AL,2.85e-05,1,8000,1.728
35005,AL,0.0001135,1,8000,35.294294294294296
35007,AL,6.75e-05,1,8000,134.14700000000002
35014,AL,3.2e-05,1,8000,0.8345035105315948
35020,AL,0.000192,1,8000,404.96000000000004
35022,AL,0.0002795,1,8000,249.92592592592592
35023,AL,6.5e-05,1,8000,58.0989010989011
35040,AL,0.0001245,1,8000,37.13872255489022
35043,AL,4e-06,1,8000,0.17635270541082165
35044,AL,5e-07,1,8000,0.03496503496503497
35051,AL,5e-07,1,8000,0.043
35055,AL,7.85e-05,1,8000,161.8948948948949
35057,AL,0.000113,1,8000,4.2434869739478955
35058,AL,8.7e-05,1,8000,13.526473526473527
35061,AL,0.00037,1,8000,8.139999999999999
35064,AL,0.000516,1,8000,92.898
35068,AL,0.0001285,1,8000,21.680999999999997
35071,AL,3.65e-05,0,500,153.63463463463464
35072,AL,4.5e-06,1,8000,0.135
35073,AL,1.95e-05,1,8000,1.1321321321321323
35077,AL,7.95e-05,1,8000,9.584999999999999
35080,AL,0.0001015,1,8000,78.81362725450902
35094,AL,3.9e-05,1,8000,38.7
35096,AL,7.45e-05,1,8000,1.9369999999999998
35111,AL,9e-05,1,8000,20.585
35114,AL,8.6e-05,1,8000,68.88223552894212
35115,AL,2.6e-05,1,8000,22.10678642714571
35116,AL,1.7e-05,1,8000,2.4624624624624625
35117,AL,3.85e-05,1,8000,51.78378378378379
35118,AL,3.35e-05,1,8000,11.443113772455089
35124,AL,8.05e-05,1,8000,290.33833833833836
35126,AL,6.3e-05,1,8000,19.696696696696698
35127,AL,0.0002625,1,8000,60.67597208374876
35147,AL,4.25e-05,1,8000,16.394394394394396
35150,AL,6.2e-05,1,8000,112.3936063936064
35151,AL,4.55e-05,1,8000,5.225548902195609
35160,AL,0.0001,1,8000,96.95195195195194
35173,AL,9.5e-05,1,8000,167.128
35176,AL,8e-06,1,8000,1.0100200400801602
35179,AL,8.4e-05,1,8000,2.2560000000000002
35184,AL,3.5e-06,1,8000,0.25225225225225223
35188,AL,1.6e-05,1,8000,0.06393606393606394
35203,AL,0.0001405,1,8000,34.54545454545455
35204,AL,0.000353,1,8000,155.8741258741259
35205,AL,4e-05,1,8000,125.22122122122123
35206,AL,0.0001735,1,8000,264.7352647352647
35207,AL,0.000281,1,8000,170.3243512974052
35208,AL,0.0003795,1,8000,174.85199999999998
35209,AL,8.5e-05,1,8000,128.844
