n_groups,group_incentives,match_score,match_mae,match_rmse,total_panels,total_spending,Carbon Offset,Energy Generation,Racial Equity,Income Equity,elapsed_sec
2,"[500, 8000]",0.5977830736205711,7.67955945354518e-05,0.0001672718042560404,3651661.0072524743,6862154475.685151,650803.8987093453,4233283540.442139,1.4823835206029725,1.5004574057042053,21.382513523101807
3,"[-2000, 5000, 8000]",0.672156432168347,6.259543061224879e-05,0.00015118680285630996,2263362.201785249,3291205347.7626815,419603.12130689045,2635020352.2879224,1.4562743581079471,1.5463131666452057,24.3360276222229
5,"[-2000, 1500, 4000, 6500, 8000]",0.7208317523553186,5.330181339277927e-05,0.0001306742202248825,1851966.7394126833,4590342553.600801,333669.0828486953,2159661667.33098,1.421856299822386,1.5559691714333521,32.66599369049072
8,"[-2000, -1000, 500, 2000, 3500, 5000, 6500, 8000]",0.7482614707055069,4.806463566481969e-05,0.00012613699252220115,1941891.5736253744,4917752922.79367,351186.3162664364,2263982108.0817566,1.4364590466159042,1.5596897850126994,50.01365423202515
