zip,state_code,target_prop,group_id,group_incentive,pred_panels
29906,SC,0.0001465,5,5000,177.75375375375376
29907,SC,8.35e-05,5,5000,92.90581162324649
29909,SC,5e-07,7,8000,0.974025974025974
29910,SC,0.0001185,5,5000,60.915
29915,SC,9.35e-05,7,8000,178.21099999999998
29920,SC,7.5e-06,7,8000,14.64
29926,SC,9.15e-05,2,500,198.1218781218781
29927,SC,5e-07,7,8000,0.9720558882235529
29928,SC,6.75e-05,3,2000,144.5024975024975
29935,SC,0.0001905,6,6500,378.251497005988
57005,SD,2.5e-06,7,8000,0.21521521521521522
57049,SD,1.3e-05,7,8000,4.4624624624624625
57055,SD,3e-06,7,8000,0.39639639639639634
57064,SD,2.1e-05,7,8000,7.605
57103,SD,9e-06,3,2000,9.672672672672672
57104,SD,7.5e-06,3,2000,13.52694610778443
57105,SD,6.5e-06,3,2000,6.647
57106,SD,9.5e-06,2,500,22.484484484484483
57107,SD,1.1e-05,2,500,23.754245754245755
57108,SD,1.65e-05,3,2000,19.2017982017982
57110,SD,1.25e-05,3,2000,29.730538922155688
57701,SD,3.5e-05,0,-2000,57.547547547547545
57702,SD,6.8e-05,4,3500,129.5855855855856
57703,SD,2.9e-05,6,6500,59.8951048951049
57719,SD,1.85e-05,7,8000,3.132
57730,SD,0.0001145,7,8000,102.22
57744,SD,1.5e-06,7,8000,0.24348697394789579
57745,SD,7.85e-05,7,8000,18.04
57751,SD,8.15e-05,7,8000,5.501002004008016
37010,TN,2.3e-05,7,8000,2.5325325325325325
37013,TN,0.000211,5,5000,372.176
37014,TN,3.5e-05,7,8000,5.32
37027,TN,0.0003175,6,6500,520.1711711711712
37040,TN,0.000156,5,5000,257.54491017964074
37042,TN,0.0001265,5,5000,266.8771228771229
37043,TN,0.000111,6,6500,204.032
37064,TN,0.0001785,6,6500,438.77000000000004
37066,TN,9.05e-05,7,8000,18.876
37067,TN,0.000138,6,6500,166.55389221556885
37069,TN,0.000218,7,8000,599.196
37072,TN,9.2e-05,5,5000,219.74025974025975
37075,TN,0.000105,5,5000,138.91608391608392
37076,TN,0.0001125,5,5000,318.519
37080,TN,8e-06,7,8000,0.624
37086,TN,0.0001935,7,8000,251.6703296703297
37115,TN,0.000146,7,8000,250.792
37122,TN,0.0001175,6,6500,194.39460539460538
37127,TN,0.0001395,7,8000,130.993
37128,TN,0.0001255,6,6500,343.32099999999997
37129,TN,0.000117,6,6500,148.45045045045046
37130,TN,6.7e-05,5,5000,124.33433433433433
37135,TN,0.000299,7,8000,243.4065934065934
37138,TN,9.1e-05,6,6500,216.88011988011988
37153,TN,5.95e-05,7,8000,79.50901803607215
37167,TN,0.000111,4,3500,215.488
37189,TN,0.0005455,7,8000,90.89820359281437
37191,TN,0.000108,7,8000,5.2847152847152845
37201,TN,8.4e-05,7,8000,22.176000000000002
37203,TN,0.000116,7,8000,223.416
37204,TN,0.0001925,7,8000,301.0320641282565
