,carbon_offset_metric_tons_per_panel,yearly_sunlight_kwh_kw_threshold_avg,black_prop,Median_income,Carbon Offset,Energy Potential,Racial Equity,Income Equity
1,0.0,0.0,0.0,-0.1,2080.30028173995,10938362.17949027,1.4340476603051924,1.648159326466846
25,0.0,0.4,0.0,0.0,1127.3035087943356,14373500.0,1.3205953361259004,0.5326650639238981
50,0.0,0.8,0.0,0.0,1127.3035087943356,14373500.0,1.221478010126676,0.6643583885894724
51,0.0,0.8,0.0,-0.1,1072.9615609825537,14373500.0,1.2579141186886806,0.6443491390199387
75,0.0,1.2000000000000002,0.0,0.0,1127.3035087943356,14373500.0,1.1107322285521177,1.0154318423594364
76,0.0,1.2000000000000002,0.0,-0.1,1072.9615609825537,14373500.0,1.137988325044243,0.9944884502221742
77,0.0,1.2000000000000002,0.0,-0.2,1072.9615609825537,14373500.0,1.1585853473880954,0.9743915192113748
100,0.0,1.6,0.0,0.0,1127.3035087943356,14373500.0,1.0307791621107105,1.3521765842945335
101,0.0,1.6,0.0,-0.1,1072.9615609825537,14373500.0,1.0521848490330166,1.33153552343181
102,0.0,1.6,0.0,-0.2,1072.9615609825537,14373500.0,1.068791739272608,1.3115151617494059
110,0.0,1.6,0.8,0.0,1043.232688856417,14050500.0,1.070651182689315,1.363530409070329
111,0.0,1.6,0.8,-0.1,1044.2148294849453,14050500.0,1.0623215958872574,1.3745933188871575
112,0.0,1.6,0.8,-0.2,1044.2148294849453,14050500.0,1.0543126745733717,1.3854896606222056
113,0.0,1.6,0.8,-0.30000000000000004,1044.2148294849453,14050500.0,1.0464236093592252,1.3962231680512653
114,0.0,1.6,0.8,-0.4,1044.2148294849453,14050500.0,1.0386517296996147,1.4067974641831136
115,0.0,1.6,1.2000000000000002,0.0,1043.232688856417,14050500.0,1.0277720453541543,1.429800734912734
116,0.0,1.6,1.2000000000000002,-0.1,1044.2148294849453,14050500.0,1.020093898788419,1.4399417741995508
117,0.0,1.6,1.2000000000000002,-0.2,1044.2148294849453,14050500.0,1.0127068243452344,1.449936142620023
118,0.0,1.6,1.2000000000000002,-0.30000000000000004,1044.2148294849453,14050500.0,1.0054259686452691,1.459786999301894
119,0.0,1.6,1.2000000000000002,-0.4,1044.2148294849453,14050500.0,0.9982490570629841,1.4694974132941616
120,0.0,1.6,1.6,0.0,1043.232688856417,14050500.0,0.988195234656255,1.4909750229517469
121,0.0,1.6,1.6,-0.1,1044.2148294849453,14050500.0,0.981094990868288,1.5003002882436745
122,0.0,1.6,1.6,-0.2,1044.2148294849453,14050500.0,0.9742600534355526,1.5094957948176448
123,0.0,1.6,1.6,-0.30000000000000004,1044.2148294849453,14050500.0,0.9675196902603045,1.5185642323007373
124,0.0,1.6,1.6,-0.4,1044.2148294849453,14050500.0,0.9608719519096034,1.5275082164963023
