,carbon_offset_metric_tons_per_panel,yearly_sunlight_kwh_kw_threshold_avg,black_prop,Median_income,Carbon Offset,Energy Potential,Racial Equity,Income Equity
0,0.0,0.0,0.0,0.0,5228.102956230556,31995998.35,1.2406455618632255,1.947580607525489
1,0.0,0.0,0.0,-0.2857142857142857,6340.410075467146,31318609.666108523,1.459338651982561,0.6268936171511679
8,0.0,0.0,0.2857142857142857,0.0,6573.203398622768,32107069.50150699,0.9441586177201646,0.1191291750026022
16,0.0,0.0,0.5714285714285714,0.0,6573.203398622768,32107069.50150699,0.691114779343476,0.0872563704516014
64,0.0,0.2857142857142857,0.0,0.0,3345.8402090495656,43120500.0,0.3887283225044269,0.0677269425469564
71,0.0,0.2857142857142857,0.0,-2.0,5228.412983743542,41817393.04999999,0.6056580398219593,0.0622953571715367
72,0.0,0.2857142857142857,0.2857142857142857,0.0,3131.95098771535,42151500.0,0.6028589618922144,0.0869637985516704
128,0.0,0.5714285714285714,0.0,0.0,3345.8402090495656,43120500.0,0.4204923855979954,0.0781351226038364
192,0.0,0.8571428571428571,0.0,0.0,3345.8402090495656,43120500.0,0.4327905745580167,0.1269159868304501
256,0.0,1.1428571428571428,0.0,0.0,3345.8402090495656,43120500.0,0.46123871737346,0.2005516767065875
271,0.0,1.1428571428571428,0.2857142857142857,-2.0,5129.114600853517,42391068.24999999,0.5446431727379673,0.2081983975937849
320,0.0,1.4285714285714284,0.0,0.0,3345.8402090495656,43120500.0,0.4785634561262877,0.2955078033103295
333,0.0,1.4285714285714284,0.2857142857142857,-1.4285714285714284,5135.155696287708,42542298.54999999,0.53332845622748,0.2998423281805595
334,0.0,1.4285714285714284,0.2857142857142857,-1.714285714285714,5149.379309297252,42510075.04999999,0.5385322158639552,0.2990493832961136
335,0.0,1.4285714285714284,0.2857142857142857,-2.0,5149.379309297252,42510075.04999999,0.5443730999402854,0.2982348014065159
384,0.0,1.714285714285714,0.0,0.0,3345.8402090495656,43120500.0,0.486662894980246,0.3977391541267294
387,0.0,1.714285714285714,0.0,-0.8571428571428571,5319.798854149351,42571060.85,0.5025708413612342,0.395173403532038
397,0.0,1.714285714285714,0.2857142857142857,-1.4285714285714284,5135.155696287708,42542298.54999999,0.5305285068836962,0.3980166221423993
398,0.0,1.714285714285714,0.2857142857142857,-1.714285714285714,5149.379309297252,42510075.04999999,0.5351763430208862,0.3971108089943038
399,0.0,1.714285714285714,0.2857142857142857,-2.0,5149.379309297252,42510075.04999999,0.5400777483522738,0.3961947092934046
448,0.0,2.0,0.0,0.0,3345.8402090495656,43120500.0,0.4926469834322531,0.4948278115967284
449,0.0,2.0,0.0,-0.2857142857142857,3354.1571117154467,43120500.0,0.4952380538622762,0.4938184349086412
450,0.0,2.0,0.0,-0.5714285714285714,4334.955971802237,42831579.9,0.501504670753212,0.4924204741510563
451,0.0,2.0,0.0,-0.8571428571428571,5319.798854149351,42571060.85,0.5057128013033918,0.4917378838035418
452,0.0,2.0,0.0,-1.1428571428571428,5276.874738018786,42564420.64999999,0.5106497160470262,0.4909001988013133
461,0.0,2.0,0.2857142857142857,-1.4285714285714284,5135.155696287708,42542298.54999999,0.530212980585774,0.4928484784665621
462,0.0,2.0,0.2857142857142857,-1.714285714285714,5135.155696287708,42542298.54999999,0.5342358728183871,0.4918727981368129
463,0.0,2.0,0.2857142857142857,-2.0,5149.379309297252,42510075.04999999,0.538471560838472,0.4908943950422266
